Id,Predicted
1,1516
2,1463
3,6492
4,8673
5,8297
6,6650
7,1966
8,1650
9,5001
10,5523
11,8739
12,1624
13,1071
14,7036
15,9193
16,4667
17,1896
18,5523
19,6937
20,8872
21,1966
22,25
23,7647
24,8704
25,9094
26,5485
27,4185
28,8739
29,3729
30,4054
31,6898
32,9911
33,4841
34,1463
35,7166
36,6224
37,169
38,510
39,9218
40,9259
41,1665
42,1171
43,1590
44,2989
45,6156
46,4106
47,9421
48,4911
49,4974
50,8329
51,1669
52,1420
53,5904
54,2579
55,2511
56,4562
57,6455
58,4539
59,4375
60,2081
61,9135
62,8946
63,1509
64,6841
65,3688
66,4575
67,3658
68,4106
69,1509
70,2136
71,7313
72,5012
73,6898
74,1966
75,1966
76,539
77,2676
78,4621
79,5511
80,1901
81,4925
82,1350
83,1510
84,8976
85,5046
86,5359
87,8930
88,4185
89,5424
90,2481
91,9956
92,4562
93,1350
94,4974
95,6073
96,1769
97,9353
98,4185
99,3220
100,4562
101,1935
102,1509
103,4267
104,5098
105,4974
106,6841
107,450
108,5396
109,5807
110,2481
111,5485
112,6732
113,5588
114,9219
115,5393
116,1523
117,2481
118,8429
119,8673
120,7036
121,1901
122,8089
123,8704
124,9902
125,7482
126,8931
127,1171
128,3912
129,6073
130,6354
131,6817
132,371
133,4974
134,5004
135,9073
136,4841
137,6841
138,4795
139,2000
140,8654
141,4027
142,5181
143,3688
144,256
145,4185
146,2203
147,5523
148,9287
149,503
150,5904
151,6841
152,536
153,5136
154,8931
155,7736
156,4621
157,325
158,1171
159,4335
160,8326
161,5524
162,2491
163,934
164,9398
165,7368
166,4106
167,3128
168,4948
169,4974
170,8931
171,5523
172,6024
173,1524
174,5642
175,4267
176,4578
177,6354
178,8976
179,9605
180,2445
181,6156
182,83
183,9592
184,4911
185,8897
186,325
187,5857
188,1173
189,4185
190,8152
191,5140
192,2205
193,8599
194,5614
195,2876
196,1269
197,5747
198,7448
199,9148
200,3989
201,1509
202,1698
203,4185
204,9646
205,3768
206,8363
207,8872
208,5132
209,3936
210,7607
211,6898
212,7952
213,8019
214,6898
215,1665
216,1935
217,7130
218,4185
219,7487
220,5359
221,3843
222,7935
223,1590
224,6937
225,5246
226,3082
227,6841
228,5993
229,9219
230,4185
231,7607
232,9073
233,7487
234,5519
235,6024
236,4539
237,360
238,4185
239,2164
240,1590
241,4539
242,2203
243,6841
244,3729
245,5684
246,5424
247,8429
248,3890
249,6803
250,8326
251,3574
252,2470
253,4027
254,7935
255,1350
256,7554
257,1665
258,7952
259,4911
260,5238
261,6455
262,3193
263,6599
264,2511
265,3729
266,5140
267,5393
268,6882
269,1171
270,1075
271,6183
272,2481
273,325
274,3688
275,3729
276,6354
277,5588
278,7487
279,7368
280,3082
281,2586
282,8751
283,2839
284,6841
285,7368
286,4562
287,4172
288,7936
289,5527
290,933
291,1184
292,2989
293,4232
294,5780
295,6455
296,1628
297,4106
298,4539
299,617
300,4106
301,1210
302,5523
303,5485
304,5046
305,7957
306,6024
307,1350
308,6301
309,4948
310,8363
311,6006
312,5140
313,5588
314,2481
315,1291
316,214
317,1075
318,5588
319,6073
320,3854
321,4977
322,821
323,3989
324,5807
325,3025
326,3729
327,5891
328,6073
329,8599
330,4427
331,8872
332,8878
333,7254
334,543
335,8123
336,2695
337,7036
338,6450
339,5040
340,921
341,2986
342,5238
343,8363
344,3082
345,9778
346,4032
347,2074
348,442
349,7775
350,9745
351,6841
352,1382
353,4974
354,9219
355,1758
356,360
357,6558
358,6354
359,8872
360,4667
361,3377
362,3097
363,1901
364,8363
365,8363
366,1901
367,2000
368,9312
369,6887
370,4841
371,5588
372,7482
373,5258
374,4027
375,8176
376,3729
377,1171
378,9745
379,3933
380,4612
381,1218
382,1350
383,5815
384,4850
385,2594
386,6700
387,3995
388,1436
389,1966
390,4185
391,1868
392,5778
393,916
394,9778
395,8872
396,4948
397,2261
398,8077
399,7036
400,7036
401,1966
402,2873
403,57
404,9745
405,5519
406,7482
407,9889
408,4267
409,3729
410,1669
411,1935
412,5523
413,9462
414,7368
415,2203
416,1516
417,4562
418,7650
419,3605
420,4232
421,2810
422,6111
423,4795
424,7254
425,3574
426,7717
427,5807
428,2203
429,438
430,5517
431,3171
432,5926
433,1063
434,1608
435,3951
436,3450
437,6455
438,1350
439,6534
440,8666
441,1665
442,7514
443,8064
444,1197
445,4974
446,325
447,5938
448,6455
449,9914
450,325
451,3439
452,5046
453,4974
454,5393
455,8363
456,5523
457,7007
458,8654
459,3128
460,5140
461,7647
462,5588
463,4612
464,4427
465,7482
466,1416
467,7482
468,1463
469,5238
470,5004
471,2470
472,8576
473,8865
474,4578
475,7995
476,5857
477,1698
478,1350
479,1935
480,6455
481,2188
482,7935
483,4741
484,5238
485,7537
