Id,Predicted
1,2021
2,4068
3,6492
4,5364
5,8297
6,2486
7,6020
8,130
9,476
10,3713
11,640
12,1624
13,1071
14,1168
15,5565
16,7566
17,1815
18,9685
19,7806
20,8649
21,7036
22,25
23,7647
24,8704
25,7625
26,4806
27,5227
28,8739
29,5807
30,2491
31,3342
32,2300
33,9704
34,1500
35,899
36,1780
37,8327
38,1561
39,9218
40,7863
41,3591
42,6566
43,7795
44,2989
45,6156
46,8711
47,4843
48,1921
49,4969
50,8329
51,2660
52,1420
53,3085
54,3940
55,4166
56,2172
57,6455
58,1620
59,3271
60,3532
61,3416
62,6496
63,9051
64,6354
65,5854
66,8267
67,5773
68,5553
69,1509
70,2136
71,5168
72,4578
73,6898
74,3409
75,5424
76,4907
77,8176
78,5819
79,2017
80,1523
81,4925
82,267
83,8479
84,5269
85,7264
86,1885
87,8930
88,3756
89,4699
90,9327
91,9956
92,1029
93,4644
94,4621
95,6928
96,1769
97,9353
98,7295
99,4328
100,1815
101,253
102,5125
103,4267
104,4105
105,8594
106,4459
107,450
108,5396
109,7505
110,819
111,1433
112,2958
113,5588
114,7656
115,9545
116,6450
117,129
118,8429
119,1968
120,7036
121,2302
122,8909
123,8704
124,8585
125,4291
126,3539
127,1171
128,3912
129,61
130,5741
131,9887
132,2504
133,7750
134,5004
135,3373
136,1216
137,9176
138,7222
139,5337
140,8654
141,4027
142,5181
143,2222
144,256
145,1992
146,9269
147,8677
148,8523
149,7968
150,3220
151,7504
152,536
153,6554
154,4891
155,595
156,1566
157,3073
158,3066
159,3389
160,5396
161,5524
162,1760
163,934
164,9905
165,8290
166,8941
167,3128
168,6334
169,1466
170,9141
171,298
172,2591
173,3339
174,597
175,8250
176,9629
177,7208
178,888
179,7736
180,3472
181,1317
182,3767
183,4615
184,7836
185,8897
186,2530
187,4621
188,1173
189,6234
190,8932
191,5032
192,2205
193,1210
194,8688
195,2876
196,3198
197,5527
198,9981
199,9148
200,6566
201,1940
202,8839
203,3989
204,4866
205,3768
206,298
207,3017
208,7552
209,8989
210,1613
211,5713
212,7952
213,8019
214,2408
215,537
216,2015
217,1611
218,7805
219,1236
220,4273
221,4212
222,177
223,298
224,9378
225,5246
226,4974
227,8152
228,1608
229,3122
230,8058
231,5844
232,8735
233,7260
234,3638
235,5781
236,4858
237,8946
238,4185
239,8279
240,298
241,217
242,2688
243,6077
244,4283
245,115
246,9256
247,4363
248,2340
249,7743
250,2016
251,7171
252,5874
253,5904
254,2341
255,2431
256,7815
257,5712
258,7952
259,7443
260,9542
261,8709
262,933
263,6599
264,8491
265,4778
266,1665
267,2220
268,1175
269,4961
270,5859
271,6183
272,762
273,3366
274,7181
275,2809
276,5741
277,828
278,2573
279,2000
280,3341
281,5752
282,313
283,2631
284,2817
285,4383
286,4562
287,4667
288,7936
289,4478
290,933
291,1184
292,7613
293,2686
294,8831
295,1899
296,5392
297,8705
298,1566
299,5106
300,2961
301,5376
302,298
303,3688
304,3220
305,3649
306,1239
307,4031
308,5586
309,2909
310,1836
311,6006
312,9890
313,6389
314,7565
315,1291
316,9287
317,5142
318,5588
319,3018
320,3997
321,4977
322,985
323,1807
324,4824
325,3907
326,8634
327,5891
328,1867
329,9092
330,4427
331,5406
332,8878
333,7254
334,7894
335,500
336,7996
337,9789
338,6751
