Id,Predicted
1,1516
2,1416
3,6492
4,8673
5,8297
6,6650
7,1966
8,1650
9,6841
10,5523
11,8152
12,1624
13,1071
14,6428
15,811
16,4667
17,1896
18,5523
19,7806
20,8872
21,1966
22,8931
23,7647
24,8704
25,3989
26,5485
27,4185
28,8739
29,2586
30,4106
31,6898
32,3743
33,4841
34,1463
35,7487
36,151
37,169
38,1561
39,9218
40,9259
41,1665
42,1171
43,7795
44,2989
45,6156
46,4106
47,1171
48,4106
49,6024
50,8329
51,1669
52,1420
53,5904
54,2579
55,2511
56,4562
57,6455
58,4539
59,4375
60,2081
61,9135
62,3082
63,2491
64,6841
65,5523
66,4575
67,3658
68,4106
69,1509
70,2136
71,5968
72,5012
73,6898
74,1966
75,1966
76,4106
77,9592
78,4621
79,2074
80,1523
81,4925
82,1350
83,1510
84,8976
85,2876
86,3296
87,8930
88,4185
89,5424
90,4185
91,9956
92,7362
93,1350
94,4974
95,6073
96,1769
97,9353
98,4185
99,3220
100,6958
101,1935
102,8152
103,4267
104,5098
105,4974
106,6841
107,450
108,5396
109,7505
110,2481
111,6073
112,6732
113,5588
114,5523
115,5393
116,4106
117,2481
118,8429
119,1628
120,7036
121,8359
122,7482
123,8704
124,4267
125,7482
126,1416
127,1171
128,3912
129,6455
130,6354
131,1760
132,5439
133,4974
134,5004
135,5523
136,4841
137,6841
138,4795
139,2000
140,8654
141,4027
142,5181
143,3688
144,256
145,1171
146,2203
147,5523
148,9287
149,503
150,5904
151,1698
152,536
153,5523
154,8931
155,7736
156,1628
157,325
158,3066
159,7537
160,4185
161,5524
162,9065
163,934
164,9398
165,7368
166,7482
167,6354
168,4948
169,4974
170,325
171,5523
172,6024
173,3450
174,5642
175,4267
176,2686
177,6354
178,8976
179,4185
180,2445
181,6156
182,5523
183,4615
184,5524
185,8897
186,4185
187,5857
188,6841
189,4185
190,8152
191,5140
192,2205
193,2586
194,5614
195,2876
196,6354
197,5747
198,7448
199,9148
200,3989
201,2491
202,8839
203,4185
204,5642
205,3768
206,8363
207,8872
208,7487
209,3936
210,7607
211,6898
212,7952
213,8019
214,6898
215,1665
216,7537
217,6306
218,4185
219,7487
220,4354
221,4185
222,7935
223,1590
224,6937
225,5246
226,3082
227,6841
228,5993
229,6455
230,4974
231,7607
232,4106
233,7487
234,4562
235,6024
236,5140
237,4185
238,4185
239,4562
240,1590
241,4539
242,2203
243,6841
244,3729
245,8872
246,7036
247,4185
248,3007
249,7743
250,8326
251,3574
252,4612
253,4027
254,4612
255,1350
256,699
257,1665
258,7952
259,5523
260,5238
261,6455
262,4083
263,6599
264,3729
265,3729
266,5140
267,5393
268,6354
269,1171
270,1075
271,6183
272,4267
273,325
274,7482
275,2586
276,6354
277,5588
278,7487
279,6703
280,3082
281,2586
282,6285
283,2839
284,6841
285,6024
286,4562
287,8814
288,7936
289,5527
290,933
291,1184
292,9568
293,4232
294,6732
295,6455
296,1628
297,4106
298,4539
299,617
300,4106
301,5121
302,5523
303,5485
304,8654
305,7957
306,6024
307,1350
308,4612
309,4948
310,8363
311,6006
312,5140
313,5588
314,2481
315,1291
316,214
317,1075
318,5588
319,6073
320,7537
321,4977
322,821
323,4974
324,1416
325,3025
326,3729
327,5891
328,6073
329,503
330,4427
331,8872
332,8878
333,7254
334,543
335,325
336,7996
337,7036
338,325
339,3729
340,8494
341,2986
342,5238
343,4185
344,2586
345,9778
346,1669
347,7368
348,325
349,7775
350,7537
351,6841
352,1382
353,4974
354,9219
355,1758
356,1760
357,6558
358,6354
359,8872
360,6128
361,3377
362,3097
363,1901
364,8363
365,8363
366,4185
367,2000
368,9312
369,6450
370,4185
371,5588
372,7482
373,5258
374,1698
375,8176
376,3729
377,9914
378,7482
379,3933
380,9911
381,1218
382,1350
383,4185
384,4850
385,9592
386,6700
387,3995
388,8872
389,1966
390,4185
391,2306
392,6700
393,916
394,9778
395,8872
396,6492
397,4974
398,8077
399,6354
400,8041
401,1966
402,2873
403,9607
404,9911
405,5519
406,3082
407,9889
408,4185
409,3729
410,1669
411,7362
412,1516
413,9462
414,7368
415,2203
416,8872
417,4562
418,7650
419,3605
420,4232
421,325
422,6111
423,4795
424,7254
425,3574
426,4106
427,2203
428,2203
429,3843
430,5519
431,5523
432,5926
433,7482
434,5523
435,3951
436,6024
437,9549
438,1350
439,6534
440,8666
441,1665
442,5523
443,4667
444,8872
445,4974
446,325
447,6372
448,8671
449,1350
450,1665
451,3439
452,5046
453,6762
454,5393
455,8363
456,5523
457,6073
458,8654
459,4974
460,5140
461,7647
462,7861
463,7362
464,4427
465,5523
466,1416
467,4974
468,8931
469,5238
470,5004
471,2470
472,1064
473,8865
474,5523
475,7995
476,5857
477,8872
478,1350
479,4974
480,6455
481,2188
482,7935
483,7362
484,5238
485,7537
486,5393
487,2760
488,933
489,7482
490,3450
491,3658
492,4565
493,1171
494,3634
495,9605
496,9645
497,4335
498,1628
499,2579
500,3007
501,2481
502,6177
503,6898
504,5140
505,325
506,6330
507,5316
508,9935
509,4974
510,4974
511,5519
512,7996
513,4974
514,5614
515,7362
516,4656
517,1071
518,8834
519,2844
520,617
521,4621
522,7466
523,2802
524,4185
525,8654
526,5523
527,8931
528,5519
529,7482
530,539
531,4562
532,7362
533,5523
534,1171
535,4487
536,5523
537,1509
538,4858
539,6841
540,9568
541,6024
542,5519
543,4185
544,3779
545,9745
546,6841
547,4868
548,4758
549,6073
550,6354
551,2164
552,8104
553,4106
554,934
555,1650
556,6150
557,1171
558,9262
559,1350
560,2203
561,4841
562,7362
563,7362
564,4106
565,5519
566,4612
567,6898
568,6455
569,6110
570,1353
571,6024
572,4922
573,1516
574,5662
575,6492
576,1350
577,5524
578,4928
579,4267
580,1650
581,325
582,4974
583,7036
584,503
585,7935
586,5424
587,5140
588,5333
589,1516
590,3601
591,4667
592,539
593,2466
594,325
595,4974
596,6428
597,5685
598,1628
599,6428
600,373
601,4185
602,4974
603,4185
604,5523
605,5424
606,5004
607,9911
608,4185
609,9629
610,821
611,6534
612,5140
613,4638
614,1628
615,4948
616,3658
617,6492
618,4562
619,6111
620,5523
621,4106
622,4612
623,4974
624,6073
625,1416
626,8494
627,6898
628,6286
629,5136
630,6073
631,1259
632,6306
633,7806
634,4106
635,6024
636,325
637,4054
638,7482
639,155
640,6073
641,503
642,1017
643,3601
644,8931
645,6805
646,4667
647,5485
648,1966
649,7054
650,2000
651,1350
652,8872
653,4539
654,325
655,4130
656,2261
657,319
658,3968
659,7565
660,3082
661,2481
662,8931
663,5778
664,9136
665,7362
666,3729
667,2717
668,2730
669,1317
670,4974
671,4106
672,5519
673,887
674,8064
675,9135
676,1350
677,503
678,4054
679,6024
680,8673
681,1163
682,4841
683,4106
684,214
685,8839
686,5523
687,3025
688,15
689,5523
690,4562
691,503
692,5523
693,1561
694,1350
695,7487
696,8689
697,3743
698,5485
699,7466
700,7482
701,1726
702,9911
703,4185
704,7936
705,4185
706,8363
707,8118
708,17
709,8041
710,4185
711,4185
712,7482
713,7559
714,3472
715,5286
716,2844
717,4106
718,2579
719,325
720,1163
721,6428
722,4185
723,6024
724,2038
725,9549
726,2844
727,5258
728,4948
729,9171
730,5720
731,6183
732,925
733,811
734,325
735,495
736,2110
737,5523
738,1966
739,4974
740,8152
741,5396
742,8055
743,5523
744,6841
745,4621
746,6566
747,325
748,4335
749,4185
750,5968
751,4106
752,7466
753,4185
754,1628
755,9911
756,4622
757,8673
758,4106
759,3743
760,1972
761,4566
762,2343
763,5393
764,319
765,4859
766,9645
767,5523
768,7935
769,925
770,1171
771,1350
772,3590
773,9831
774,9269
775,7594
776,1001
777,7352
778,9847
779,1561
780,5393
781,1171
782,5140
783,9935
784,7487
785,1350
786,9911
787,9077
788,8363
789,8739
790,7025
791,1669
792,5761
793,6558
794,5926
795,2203
796,7368
797,2081
798,7482
799,5588
800,1350
801,6841
802,6803
803,5040
804,5519
805,1966
806,9645
807,4562
808,1416
809,2686
810,7466
811,4054
812,1463
813,1966
814,8326
815,934
816,1833
817,1628
818,9135
819,1516
820,6455
821,1779
822,5519
823,6455
824,9605
825,8872
826,7861
827,6428
828,7665
829,5857
830,2586
831,3989
832,5857
833,8642
834,1350
835,1510
836,5588
837,1171
838,3450
839,6841
840,4841
841,6177
842,7796
843,9911
844,7178
845,7036
846,6455
847,3220
848,8688
849,1758
850,7537
851,7865
852,325
853,4974
854,1171
855,3251
856,9823
857,4562
858,4267
859,8704
860,3658
861,4769
862,7463
863,4769
864,5523
865,6128
866,5524
867,1628
868,3007
869,3085
870,5523
871,4185
872,4948
873,440
874,543
875,5495
876,7066
877,2000
878,2203
879,5588
880,4054
881,8976
882,1510
883,7876
884,4769
885,7125
886,4769
887,7537
888,325
889,3085
890,7362
891,4332
892,5381
893,9638
894,319
895,4974
896,7482
897,6354
898,8599
899,3989
900,7482
901,1416
902,3803
903,3088
904,7036
905,4948
906,5523
907,7537
908,7466
909,6024
910,8326
911,687
912,1350
913,9543
914,5523
915,4083
916,4185
917,4185
918,5359
919,1350
920,4562
921,1293
922,1966
923,1171
924,6455
925,4667
926,5685
927,5523
928,1590
929,5523
930,3007
931,495
932,7482
933,4621
934,6455
935,2136
936,4974
937,7482
938,6073
939,214
940,7036
941,4539
942,4185
943,1350
944,325
945,5393
946,4185
947,6183
948,9280
949,7091
950,1450
951,5884
952,6354
953,6841
954,9911
955,8186
956,4974
957,4859
958,4836
959,5524
960,2368
961,4043
962,6850
963,7628
964,2000
965,4027
966,4667
967,4106
968,2466
969,8791
970,6841
971,3025
972,5004
973,1071
974,4106
975,6841
976,4185
977,5523
978,325
979,1698
980,8193
981,5775
982,7952
983,5523
984,7683
985,8872
986,6354
987,613
