Id,Predicted
1,8599
2,8931
3,6492
4,5364
5,8297
6,6650
7,4253
8,8119
9,4140
10,9545
11,1820
12,1624
13,5771
14,3984
15,7901
16,1075
17,2924
18,5523
19,7806
20,9048
21,3211
22,6315
23,7647
24,8704
25,2074
26,2768
27,7054
28,8739
29,8722
30,3645
31,8135
32,5664
33,1075
34,2928
35,5061
36,151
37,169
38,1561
39,9218
40,899
41,1350
42,5227
43,7795
44,2989
45,2511
46,3505
47,5227
48,762
49,4260
50,8329
51,7349
52,1420
53,5904
54,6677
55,2511
56,2676
57,6455
58,3291
59,3433
60,2081
61,9135
62,1623
63,1820
64,3720
65,5854
66,4342
67,4986
68,8821
69,1509
70,4859
71,4205
72,4872
73,3720
74,7652
75,2481
76,9468
77,2676
78,9000
79,2074
80,2882
81,4925
82,267
83,7834
84,9501
85,8539
86,7180
87,8930
88,1584
89,4467
90,2481
91,9956
92,5614
93,1350
94,3767
95,339
96,1769
97,9353
98,953
99,3220
100,6958
101,9401
102,5330
103,4267
104,9528
105,8594
106,7033
107,450
108,5396
109,7505
110,6895
111,503
112,9528
113,5588
114,5685
115,8359
116,6856
117,2481
118,2342
119,5227
120,8678
121,6325
122,2097
123,7125
124,5557
125,2519
126,8931
127,5857
128,3912
129,9073
130,2496
131,6941
132,371
133,2663
134,5159
135,1541
136,7069
137,9315
138,7222
139,6929
140,8654
141,4027
142,5197
143,7866
144,256
145,1992
146,2983
147,5685
148,9287
149,6778
150,5904
151,5741
152,1246
153,5523
154,8931
155,1735
156,7289
157,4654
158,3066
159,5734
160,8591
161,5630
162,9065
163,2519
164,5364
165,7855
166,6450
167,8894
168,1541
169,687
170,5647
171,9381
172,5645
173,1524
174,5642
175,4267
176,7412
177,8894
178,8814
179,3082
180,1571
181,8976
182,6064
183,4615
184,4673
185,8897
186,4296
187,7069
188,4229
189,2201
190,8336
191,6640
192,2205
193,9258
194,4583
195,2876
196,1269
197,176
198,9981
199,9148
200,3234
201,4947
202,8839
203,4174
204,9565
205,3768
206,7381
207,2308
208,4896
209,8989
210,1613
211,6309
212,7952
213,8019
214,938
215,2137
216,7222
217,3403
218,5364
219,6690
220,5359
221,3033
222,9004
223,3878
224,2306
225,5246
226,9050
227,4593
228,5129
229,5778
230,2595
231,9095
232,8267
233,8337
234,5362
235,5626
236,4539
237,8041
238,5889
239,403
240,3878
241,5227
242,9129
243,1709
244,536
245,9048
246,5100
247,5523
248,3007
249,7743
250,5516
251,8356
252,6547
253,908
254,7935
255,1350
256,699
257,3853
258,7952
259,9050
260,5238
261,7853
262,8831
263,6599
264,9698
265,1052
266,7864
267,6318
268,3674
269,5882
270,1075
271,6183
272,2481
273,1318
274,1205
275,3729
276,8989
277,5248
278,3450
279,6703
280,3082
281,4161
282,5871
283,8595
284,1009
285,4944
286,8255
287,7131
288,3781
289,5647
290,933
291,1184
