Id,Predicted
1,4473
2,8931
3,6492
4,8673
5,8297
6,6650
7,4099
8,9219
9,4140
10,9545
11,1820
12,1624
13,5771
14,4897
15,7901
16,1075
17,8876
18,8722
19,7806
20,3759
21,1966
22,6315
23,7647
24,8704
25,2074
26,5485
27,5227
28,8739
29,9618
30,7784
31,8135
32,4069
33,1075
34,2928
35,955
36,151
37,169
38,1561
39,9218
40,899
41,1350
42,3833
43,7795
44,2989
45,6156
46,3505
47,5227
48,4701
49,3946
50,8329
51,1669
52,1420
53,5904
54,8219
55,2511
56,2676
57,6455
58,3489
59,4375
60,2081
61,9135
62,1623
63,1820
64,5181
65,5854
66,5148
67,4986
68,8238
69,1509
70,4859
71,4205
72,3653
73,4593
74,8534
75,604
76,9468
77,6465
78,9000
79,2074
80,2882
81,4925
82,267
83,8479
84,8976
85,8539
86,7180
87,8930
88,9073
89,4467
90,8894
91,9956
92,8539
93,1350
94,5547
95,339
96,1769
97,9353
98,953
99,3220
100,6958
101,6027
102,9756
103,4267
104,7097
105,9185
106,7033
107,450
108,5396
109,4314
110,2688
111,7021
112,9493
113,5877
114,5685
115,8207
116,2202
117,2481
118,8429
119,8673
120,6355
121,6483
122,7736
123,7125
124,8585
125,2519
126,6935
127,5857
128,3912
129,9073
130,2496
131,6941
132,371
133,5642
134,9083
135,1541
136,7069
137,7560
138,7222
139,8096
140,8654
141,4027
142,5197
143,7866
144,256
145,1992
146,2983
147,5685
148,6124
149,8313
150,5904
151,5741
152,790
153,6674
154,6935
155,3343
156,7289
157,4654
158,3066
159,4741
160,113
161,5524
162,9065
163,1895
164,4995
165,7855
166,6450
167,8894
168,1297
169,687
170,5647
171,9381
172,5645
173,5675
174,3041
175,4267
176,3686
177,8894
178,3021
179,9394
180,1571
181,8976
182,719
183,4615
184,4673
185,8897
186,4296
187,7069
188,4229
189,27
190,287
191,6640
192,2205
193,9258
194,4069
195,2876
196,1269
197,8539
198,9981
199,9148
200,2255
201,4947
202,8839
203,4174
204,5642
205,3768
206,7381
207,3901
208,2741
209,8989
210,1613
211,6309
212,7952
213,8019
214,938
215,6895
216,5747
217,3403
218,5517
219,6690
220,5359
221,3539
222,4960
223,3878
224,3082
225,5246
226,9050
227,8255
228,2384
229,9219
230,2595
231,3767
232,3943
233,8337
234,9467
235,4713
236,4539
237,7036
238,4185
239,403
240,3878
241,4539
242,4985
243,8255
244,3729
245,115
246,5100
247,9073
248,3007
249,7743
250,8326
251,4672
252,7097
253,908
254,4948
255,1350
256,699
257,3853
258,7952
259,9050
260,5238
261,7853
262,8831
263,6599
264,5146
265,1052
266,6209
267,6318
268,1175
269,5227
270,1075
271,6183
272,2481
273,1318
274,1205
275,5687
276,8989
277,994
278,3450
279,2074
280,3082
281,4161
282,1402
283,2631
284,7033
285,4944
286,4069
287,3899
288,3781
289,5527
290,933
291,1184
292,2783
293,4232
294,7033
295,1580
296,1402
297,6383
298,4408
299,617
300,4733
301,5121
302,6861
303,4539
304,8539
305,7957
306,5138
307,1350
308,6301
309,6687
310,290
311,6006
312,5364
313,6124
314,2481
315,1291
316,214
317,1075
318,5588
319,6073
320,4741
321,4977
322,985
323,5795
324,2704
325,2519
326,2264
327,5891
328,6073
329,4896
330,4427
331,8872
332,4411
333,7254
334,7894
335,8123
336,8612
337,3101
338,9605
339,2928
340,7195
341,2986
342,4764
343,7959
344,1402
345,2077
346,2248
347,2074
348,1312
349,7775
350,8539
351,7033
352,8142
353,7216
354,9219
355,1758
356,9096
357,1027
358,6354
359,4455
360,9036
361,6826
362,9312
363,1901
364,7381
365,8363
366,1901
367,2000
368,9312
369,1282
370,4841
371,5588
372,7482
373,5258
374,7834
375,8176
376,2592
377,9914
378,1821
379,3933
380,4069
381,1459
382,1350
383,2936
384,4850
385,7128
386,7872
387,4467
388,5888
389,8534
390,5464
391,2306
392,6889
393,916
394,9778
395,6700
396,4165
397,8701
398,8077
399,8894
400,8041
401,2846
402,2873
403,9607
404,7097
405,1240
406,7736
407,9889
408,5454
409,2128
410,1669
411,9257
412,8331
413,7886
414,1302
415,5288
416,5228
417,9786
418,7650
419,2593
420,4232
421,117
422,6111
423,3551
424,7254
425,3574
426,4995
427,5288
428,2983
429,3843
430,673
431,8192
432,8965
433,1141
434,7621
435,3951
436,6596
437,9549
438,7866
439,6534
440,8666
441,5527
442,8638
443,407
444,8872
445,5674
446,7787
447,6372
448,8671
449,1350
450,9964
451,3439
452,5046
453,6620
454,2103
455,4578
456,3128
457,2481
458,3695
459,7632
460,1850
461,2445
462,7861
463,6547
464,4427
465,5125
466,2378
467,2107
468,8931
469,684
470,5675
471,7097
472,1064
473,8865
474,3427
475,7995
476,5857
477,7281
478,1350
479,2670
480,9002
481,2188
482,4960
483,4069
484,5238
485,1856
486,4302
487,8996
488,9524
489,1188
490,2508
491,8474
492,15
493,1171
494,3634
495,4872
496,8539
497,9568
498,6450
499,6237
500,3340
501,2481
502,7535
503,7989
504,6070
505,8829
506,3294
507,5316
508,9902
509,7346
510,169
511,8460
512,7996
513,6884
514,1386
515,9962
516,4656
517,139
518,8834
519,2844
520,617
521,5454
522,8605
523,2802
524,6674
525,4733
526,8303
527,6566
528,888
529,1188
530,539
531,4562
532,3863
533,9219
534,1171
535,4487
536,1895
537,1509
538,4858
539,281
540,9568
541,5804
542,5469
543,4897
544,3779
545,9745
546,6841
547,4868
548,6779
549,5329
550,8894
551,7220
552,8104
553,4398
554,839
555,1650
556,6150
557,4334
558,4408
559,1350
560,2983
561,1075
562,7097
563,4335
564,4288
565,7924
566,5664
567,938
568,3219
569,6110
570,1353
571,1829
572,4128
573,5642
574,5662
575,6492
576,9964
577,4480
578,4928
579,3465
580,1603
581,1350
582,2828
583,407
584,503
585,1295
586,4649
587,7185
588,5440
589,6064
590,7091
591,4079
592,2074
593,2466
594,3366
595,9698
596,6474
597,8818
598,4172
599,3843
600,373
601,7901
602,5674
603,8731
604,1731
605,7736
606,1541
607,7097
608,5088
609,3792
610,6547
611,6534
612,2511
613,4638
614,8439
615,4372
616,3658
617,6169
618,3175
619,6111
620,3817
621,7515
622,9910
623,5674
624,8403
625,5217
626,7195
627,4334
628,3330
629,1774
630,8266
631,4198
632,6306
633,7806
634,6561
635,8313
636,7633
637,5674
638,8894
639,6262
640,2511
641,6620
642,9549
643,3601
644,6935
645,6805
646,532
647,8845
648,4914
649,673
650,8092
651,4786
652,9139
653,7901
654,3839
655,4130
656,2664
657,8347
658,8776
659,7565
660,2602
661,9953
662,6838
663,287
664,9136
665,8539
666,3729
667,2717
668,8924
669,1317
670,6996
671,6450
672,7142
673,8276
674,8064
675,9135
676,1350
677,3799
678,5674
679,4194
680,5268
681,1163
682,1075
683,9516
684,9609
685,8839
686,2595
687,4535
688,15
689,6744
690,8905
691,3695
692,829
693,1561
694,3853
695,6064
696,8689
697,3743
698,2678
699,7466
700,7749
701,1726
702,6904
703,27
704,3781
705,4185
706,7381
707,8118
708,17
709,8153
710,5208
711,7054
712,9708
713,7709
714,4859
715,5286
716,2657
717,7784
718,8913
719,9075
720,8425
721,8319
722,3809
723,1134
724,2038
725,9549
726,6691
727,5258
728,3725
729,6493
730,5720
731,6183
732,5330
733,811
734,2548
735,9048
736,2110
737,9024
738,2497
739,2872
740,4914
741,5396
742,4032
743,7866
744,4593
745,7191
746,4766
747,8014
748,6028
749,4185
750,5968
751,6073
752,7466
753,426
754,9193
755,6883
756,4622
757,8673
758,6138
759,8868
760,1972
761,8229
762,2343
763,5909
764,2132
765,4859
766,5828
767,9073
768,9090
769,7565
770,5227
771,9138
772,3590
773,9831
774,9269
775,3205
776,1001
777,7352
778,9847
779,1561
780,4032
781,7402
782,5642
783,9935
784,1541
785,9138
786,4069
787,9077
788,6162
789,8739
790,7025
791,7397
792,5761
793,1435
794,5926
795,5288
796,2074
797,9903
798,8718
799,5588
800,8960
801,7033
802,6803
803,5040
804,5519
805,4504
806,8595
807,7909
808,1488
809,6666
810,8605
811,5674
812,7521
813,9687
814,3002
815,9925
816,1471
817,8234
818,9135
819,1516
820,1541
821,1779
822,9878
823,7021
824,9605
825,8872
