Id,Predicted
1,7952
2,3409
3,6492
4,5364
5,8297
6,6650
7,6136
8,6632
9,476
10,8979
11,8739
12,1624
13,5771
14,1268
15,5565
16,2110
17,1815
18,4674
19,7806
20,3175
21,1966
22,8931
23,7647
24,8704
25,3484
26,2577
27,614
28,8739
29,3172
30,2689
31,6898
32,7028
33,9704
34,2313
35,7487
36,6224
37,2170
38,1561
39,9218
40,9259
41,6652
42,5279
43,4069
44,2989
45,6156
46,4770
47,4843
48,7262
49,3946
50,8329
51,4649
52,1420
53,3085
54,9209
55,5871
56,2172
57,6455
58,1620
59,4375
60,1440
61,9135
62,8946
63,6387
64,4789
65,532
66,4575
67,4986
68,5208
69,1509
70,5806
71,7313
72,80
73,6937
74,1626
75,5424
76,3266
77,27
78,7410
79,5136
80,1523
81,4925
82,267
83,8479
84,4697
85,2844
86,1885
87,8930
88,8799
89,4699
90,1884
91,6607
92,8397
93,6681
94,6861
95,8933
96,1769
97,9353
98,7295
99,3220
100,6958
101,1935
102,5235
103,4267
104,4105
105,9185
106,7565
107,450
108,5396
109,7505
110,2504
111,6073
112,5760
113,5588
114,1211
115,6458
116,4769
117,6347
118,8429
119,6234
120,670
121,2302
122,7080
123,8704
124,4781
125,2750
126,263
127,1507
128,3912
129,895
130,5282
131,3807
132,6500
133,3975
134,5004
135,9073
136,5857
137,6841
138,6805
139,5337
140,8654
141,4027
142,5197
143,3688
144,423
145,1029
146,3861
147,177
148,1004
149,4563
150,933
151,7125
152,1148
153,5136
154,6827
155,5315
156,1628
157,132
158,3066
159,2341
160,8326
161,5524
162,8132
163,2519
164,7745
165,3516
166,4856
167,9435
168,7112
169,3234
170,325
171,9588
172,711
173,9131
174,3041
175,4267
176,3686
177,8164
178,1884
179,5424
180,6135
181,6602
182,3445
183,9024
184,8041
185,318
186,4296
187,9135
188,4229
189,2340
190,319
191,5884
192,2205
193,5445
194,4612
195,2876
196,5413
197,3682
198,7448
199,9148
200,8470
201,9578
202,8839
203,3688
204,9143
205,3768
206,1336
207,9012
208,9891
209,8989
210,1613
211,5713
212,7952
213,8019
214,6898
215,9527
216,7406
217,9196
218,8882
219,9614
220,6802
221,9622
222,177
223,1590
224,1545
225,5246
226,2766
227,2894
228,6772
229,9219
230,5668
231,3767
232,662
233,229
234,9467
235,4713
236,9435
237,7463
238,4185
239,5683
240,1590
241,4539
242,2733
243,7024
244,4283
245,115
246,1883
247,8974
248,2363
249,7743
250,8326
251,4485
252,9599
253,4027
254,1381
255,2591
256,699
257,5703
258,7952
259,8046
260,6867
261,4191
262,3193
263,6599
264,7317
265,2248
266,5880
267,4467
268,1175
269,4961
270,1075
271,6183
272,9123
273,3366
274,9399
275,2809
276,5282
277,3744
278,9989
279,3189
280,7943
281,1121
282,1402
283,8494
284,7834
285,4383
286,1009
287,4007
288,7936
289,5527
290,933
291,1184
292,7613
293,2686
294,5182
295,3458
296,7717
297,4520
298,9194
299,5130
300,2511
301,2136
302,5523
303,3688
304,8654
305,3649
306,5179
307,4184
308,6301
309,2909
310,1836
311,6006
312,9605
313,889
314,9585
315,1291
316,214
317,120
318,5588
319,3018
320,3854
321,4977
322,985
323,3989
324,9653
325,3562
326,4781
327,3779
328,1867
329,4896
330,4427
331,5406
332,8878
333,7254
334,7894
335,8123
336,1594
337,4049
338,7170
339,3359
340,1973
341,2986
342,6107
343,9639
344,3567
345,399
346,6248
347,4238
348,1312
349,7775
350,4643
351,5519
352,5965
353,476
354,2351
355,1758
356,207
357,3679
358,6052
359,325
360,4180
361,6826
362,3097
363,1901
364,4808
365,3032
366,1112
367,2000
368,9312
369,1733
370,3200
371,5588
372,1455
373,5258
374,4027
375,8176
376,3111
377,9488
378,6636
379,3933
380,3135
381,7482
382,4726
383,2936
384,4850
385,3442
386,3997
387,6875
388,5888
389,2513
390,5286
391,4771
392,2021
393,1226
394,9778
395,9252
396,4165
397,4218
398,8077
399,8285
400,7482
401,786
402,2873
403,5271
404,2970
405,5519
406,6187
407,9889
408,3617
409,9709
410,6221
411,9183
412,8233
413,9462
414,4132
415,3250
416,1106
417,9786
418,7650
419,3605
420,8529
421,2810
422,6111
423,2726
424,7254
425,3574
426,290
427,3279
428,3250
429,5801
430,7171
431,1232
432,1596
433,1063
434,1608
435,3951
436,8450
437,6455
438,1175
439,159
440,8666
441,1584
442,3330
443,2071
444,1197
445,7394
446,4919
447,6372
448,4126
449,4910
450,1707
451,3439
452,5046
453,3811
454,9565
455,8231
456,6455
457,5236
458,3695
459,4808
460,1850
461,2986
462,8520
463,8255
464,4427
465,9545
466,7627
467,2107
468,1329
469,4764
470,8266
471,730
472,1064
473,8865
474,9552
475,7995
476,3592
477,3046
478,8223
479,2670
480,5595
481,2188
482,9882
483,3764
484,3890
485,1856
486,7247
487,8551
488,6763
489,7487
490,7394
491,6898
492,15
493,4054
494,3634
495,8064
496,7222
497,1450
498,5641
499,8633
500,8230
501,4372
502,7125
503,6898
504,5140
505,8537
506,9744
507,5316
508,9170
509,6591
510,4974
511,8460
512,7996
513,3613
514,1386
515,6882
516,4656
517,139
518,8834
519,7935
520,7821
521,3601
522,8127
523,2802
524,1196
525,477
526,8303
527,8643
528,6177
529,5918
530,7813
531,4562
532,539
533,7667
534,4961
535,828
536,8974
537,2530
538,3413
539,1980
540,1935
541,1281
542,1626
543,4054
544,3779
545,9745
546,5141
547,4868
548,4758
549,487
550,8266
551,1740
552,8104
553,578
554,839
555,1650
556,6150
557,4164
558,6399
559,5028
560,8937
561,1059
562,4691
563,3856
564,2511
565,7785
566,4612
567,9537
568,4524
569,6110
570,1353
571,6457
572,7252
573,799
574,5662
575,6492
576,6816
577,2595
578,4928
579,4161
580,1650
581,7153
582,2828
583,7036
584,5982
585,3135
586,4239
587,7185
588,5333
589,9032
590,4645
591,2768
592,146
593,2466
594,8259
595,3415
596,5932
597,2875
598,6450
599,9906
600,373
601,5698
602,8908
603,3717
604,1731
605,3168
606,4952
607,9480
608,1945
609,7554
610,7312
611,4106
612,4843
613,6805
614,8705
615,4372
616,2470
617,6558
618,7170
619,6111
620,3817
621,2303
622,128
623,4328
624,5649
625,523
626,7195
627,6063
628,9521
629,6638
630,9107
631,1259
632,6306
633,7806
634,6176
635,1565
636,4774
637,1262
638,6416
639,2865
640,7799
641,8205
642,9094
643,3601
644,4566
645,6805
646,3970
647,6772
648,380
649,7054
650,8255
651,9826
652,5898
653,3955
654,9575
655,4130
656,2261
657,70
658,8776
659,9686
660,7761
661,3888
662,8570
663,587
664,9136
665,1123
666,2393
667,2717
668,2730
669,5909
670,6996
671,1210
672,5473
673,8276
674,6754
675,7821
676,5986
677,5984
678,173
679,1679
680,377
681,1163
682,2203
683,325
684,4272
685,8839
686,1796
687,2473
