Id,Predicted
1,301
2,4068
3,6492
4,3594
5,8297
6,2486
7,5220
8,7448
9,476
10,3713
11,640
12,1624
13,1071
14,1168
15,5565
16,7566
17,1815
18,8608
19,6937
20,3175
21,7036
22,6989
23,7647
24,8704
25,7625
26,2577
27,3185
28,8739
29,5807
30,2491
31,3342
32,4027
33,9704
34,2946
35,7487
36,1780
37,4854
38,1561
39,2717
40,7863
41,3591
42,8013
43,7795
44,2989
45,6156
46,8711
47,4495
48,1921
49,5179
50,8329
51,2660
52,1420
53,3085
54,3940
55,4166
56,2172
57,6455
58,1620
59,3271
60,8815
61,3416
62,6496
63,9051
64,6354
65,5854
66,318
67,5773
68,8439
69,1509
70,2136
71,5968
72,4578
73,6898
74,3409
75,5424
76,2140
77,8479
78,1155
79,5085
80,1523
81,4925
82,267
83,8479
84,8014
85,2844
86,1885
87,3254
88,3756
89,4699
90,462
91,9956
92,6266
93,7620
94,4621
95,6928
96,1769
97,9353
98,7295
99,4328
100,1815
101,8802
102,1703
103,4267
104,9219
105,8594
106,4459
107,450
108,5396
109,7505
110,2688
111,1433
112,5760
113,5588
114,4985
115,9545
116,1518
117,3943
118,8429
119,6234
120,5045
121,2302
122,2546
123,8704
124,8585
125,2431
126,1680
127,1171
128,3912
129,61
130,5741
131,9887
132,41
133,7750
134,5004
135,2131
136,4354
137,9176
138,5523
139,8096
140,8654
141,4027
142,5181
143,2222
144,256
145,51
146,7944
147,8677
148,8523
149,4563
150,3220
151,5801
152,1148
153,6554
154,7803
155,5315
156,9549
157,3073
158,3066
159,3389
160,4185
161,5524
162,4741
163,934
164,522
165,9912
166,4856
167,3128
168,6334
169,3234
170,325
171,298
172,711
173,1946
174,597
175,8250
176,9629
177,7208
178,9953
179,7736
180,3472
181,2894
182,3767
183,4615
184,7836
185,8897
186,4296
187,811
188,1173
189,6234
190,2040
191,5884
192,2205
193,3720
194,8688
195,2876
196,7973
197,6823
198,9981
199,9148
200,1152
201,8758
202,8839
203,418
204,6712
205,3768
206,298
207,9012
208,2741
209,8989
210,1613
211,5713
212,7952
213,8019
214,2408
215,1016
216,2015
217,1611
218,2893
219,9703
220,4273
221,4212
222,5191
223,298
224,8129
225,5246
226,316
227,2491
228,1608
229,7313
230,8058
231,5844
232,2297
233,5777
234,3638
235,872
236,4858
237,5282
238,4185
239,3833
240,298
241,217
242,2688
243,6077
244,2234
245,115
246,9722
247,3984
248,6992
249,7743
250,2016
251,7171
252,8564
253,184
254,2341
255,3155
256,7815
257,5712
258,7952
259,4156
260,7528
261,5694
262,933
263,6599
264,8491
265,1052
266,9624
267,2220
268,1175
269,4961
270,5859
271,6183
272,762
273,3366
274,7181
275,6022
276,5741
277,828
278,5332
279,2201
280,3341
281,5752
282,313
283,2631
284,3472
285,1350
286,4562
287,4667
288,7936
289,7670
290,933
291,1184
292,1433
293,2686
294,8831
295,1899
296,7717
297,1679
298,11
299,2297
300,8744
301,5121
302,298
303,3688
304,3220
