Id,Predicted
1,4245
2,3409
3,6492
4,5364
5,8297
6,6650
7,6136
8,3727
9,476
10,1623
11,8739
12,1624
13,1071
14,3984
15,5565
16,2110
17,1815
18,8608
19,7806
20,8649
21,1966
22,25
23,7647
24,8704
25,8250
26,2577
27,3185
28,8739
29,4539
30,9577
31,6898
32,7028
33,9704
34,2313
35,7487
36,13
37,2170
38,1561
39,9218
40,9259
41,8569
42,5279
43,4069
44,2989
45,6156
46,4770
47,9398
48,4348
49,4969
50,4391
51,5095
52,1420
53,3085
54,9209
55,3370
56,2172
57,6455
58,1620
59,4375
60,4969
61,9135
62,8946
63,2136
64,4789
65,532
66,318
67,4986
68,2962
69,684
70,6224
71,7313
72,141
73,6898
74,3450
75,5424
76,3266
77,27
78,1430
79,5136
80,3754
81,4925
82,267
83,8479
84,4234
85,3615
86,7180
87,8930
88,3756
89,4699
90,462
91,9956
92,8397
93,3506
94,6861
95,6928
96,1769
97,9353
98,429
99,3220
100,6958
101,9523
102,3837
103,8793
104,387
105,9185
106,7565
107,450
108,5396
109,7505
110,2481
111,6073
112,5760
113,5588
114,7656
115,4779
116,6787
117,3943
118,8429
119,6234
120,5141
121,2302
122,2546
123,8704
124,8585
125,2750
126,263
127,8746
128,3912
129,70
130,5282
131,9887
132,2504
133,4400
134,5004
135,9073
136,5857
137,7687
138,7222
139,5337
140,8654
141,4027
142,5197
143,3804
144,423
145,1992
146,3861
147,177
148,9287
149,6209
150,933
151,3693
152,536
153,5136
154,7803
155,5315
156,1566
157,3073
158,3066
159,3389
160,8326
161,5524
162,1760
163,934
164,6538
165,2068
166,4856
167,4491
168,9574
169,9186
170,7577
171,9588
172,5645
173,9131
174,3041
175,4267
176,3686
177,8339
178,2614
179,9394
180,6135
181,6602
182,4218
183,9207
184,7836
185,8897
186,4296
187,4621
188,8065
189,2741
190,319
191,2483
192,2205
193,5445
194,9638
195,2876
196,1269
197,3682
198,9981
199,9148
200,8470
201,9578
202,8839
203,1699
204,4866
205,3768
206,1336
207,9012
208,2741
209,8989
210,1613
211,5713
212,7952
213,8019
214,2408
215,2097
216,2015
217,1611
218,7805
219,1236
220,7419
221,4822
222,177
223,611
224,1545
225,5246
226,2607
227,8152
228,6772
229,4859
230,8701
231,3767
232,662
233,3782
234,1224
235,8938
236,1518
237,360
238,3017
239,5835
240,611
241,4539
242,2733
243,7024
244,7076
245,115
246,6549
247,8974
248,9666
249,7743
250,8326
251,4485
252,8564
253,4027
254,2341
255,4563
256,7554
257,8582
258,7952
259,1773
260,6045
261,7853
262,6763
263,6599
264,8491
265,1371
266,6156
267,2220
268,2349
269,4961
270,4878
271,6183
272,2945
273,3366
274,7181
275,2809
276,5282
277,5508
278,2134
279,3189
280,3341
281,5216
282,313
283,2631
284,7834
285,4383
286,5206
287,8814
288,3781
289,7553
290,933
291,1184
292,2783
293,2686
294,5094
295,2764
296,7717
297,5344
298,8779
299,5130
300,9377
301,5376
302,7244
303,3688
304,8654
305,3649
306,6024
307,5296
308,6301
309,564
310,1836
311,6006
312,9890
313,889
314,9585
315,1291
316,214
317,120
318,5588
319,8722
320,6870
321,4977
322,9101
323,3989
324,2704
325,2295
326,3729
327,5891
328,8255
329,4896
330,4427
331,7799
332,8878
333,7254
334,7894
335,8123
336,6139
337,7320
338,4049
339,871
340,5394
341,2986
342,3726
343,7959
344,503
345,9778
346,8768
347,7920
348,148
349,7775
350,986
351,7129
352,5965
353,476
354,2351
355,1758
356,7414
357,3679
358,8412
359,2982
360,4487
361,4925
362,3097
363,1901
364,6681
365,3032
366,1901
367,2000
368,9312
369,1282
370,7699
371,5588
372,5240
373,5258
374,6667
375,8176
376,3695
377,7925
378,6636
379,3933
380,3135
381,5412
382,7815
383,2936
384,4850
385,8788
386,3997
387,6875
388,4026
389,9482
390,3686
391,2306
392,6889
393,5402
394,9778
395,8872
396,9758
397,647
398,8077
399,9646
400,4897
401,2107
402,2873
403,771
404,2970
405,1240
406,1429
407,9889
408,1476
409,9709
410,1978
411,9587
412,4090
413,9462
414,4132
415,8116
416,8041
417,9786
418,7650
419,2593
420,415
421,6774
422,6111
423,2106
424,7254
425,3574
426,436
427,5523
428,3250
429,438
430,4296
431,9271
432,1596
433,1063
434,1780
435,3951
436,5842
437,1917
438,7418
439,627
440,8666
441,9073
442,2909
443,2071
444,1197
445,4065
446,4919
447,6372
448,8671
449,1068
450,941
451,3439
452,5046
453,6020
454,9838
455,9641
456,4202
457,6115
458,3695
459,6652
460,1921
461,2505
462,7120
463,6841
464,4427
465,850
466,7880
467,7482
468,3756
469,9904
470,5411
471,9437
472,483
473,8865
474,9552
475,7995
476,3592
477,7990
478,10000
479,2670
480,9002
481,2188
482,9882
483,9839
484,5238
485,1856
486,2002
487,8551
488,5113
489,4762
490,7394
491,3658
492,4565
