Id,Predicted
1,4473
2,1646
3,6492
4,27
5,8297
6,6650
7,9607
8,9219
9,476
10,1262
11,640
12,1624
13,1071
14,4897
15,5565
16,2628
17,1815
18,3183
19,4173
20,8649
21,1966
22,3229
23,7647
24,8704
25,8250
26,2129
27,4185
28,8739
29,5807
30,2435
31,6898
32,1326
33,9051
34,206
35,955
36,151
37,2170
38,1561
39,9218
40,9259
41,1665
42,3833
43,7795
44,2989
45,6156
46,3505
47,9398
48,7487
49,1668
50,8329
51,5393
52,1420
53,3085
54,2579
55,4445
56,2172
57,6455
58,8914
59,4375
60,2081
61,9135
62,2243
63,1820
64,4789
65,5854
66,5148
67,4986
68,8733
69,1509
70,2136
71,4205
72,3653
73,6898
74,3450
75,9836
76,9468
77,9592
78,4621
79,5468
80,1523
81,4925
82,267
83,8479
84,8976
85,7264
86,1885
87,8930
88,3756
89,4699
90,3767
91,9956
92,5747
93,8643
94,757
95,9512
96,1769
97,9353
98,953
99,3220
100,6958
101,1935
102,7021
103,4267
104,3139
105,9185
106,7565
107,450
108,5396
109,7505
110,2688
111,1498
112,6732
113,5588
114,3390
115,8359
116,6156
117,2481
118,8429
119,8673
120,5045
121,8312
122,7736
123,8704
124,8585
125,2431
126,6835
127,5857
128,3912
129,3635
130,1281
131,6941
132,8289
133,3342
134,5004
135,5663
136,5857
137,6841
138,5679
139,8096
140,8654
141,4027
142,5197
143,6311
144,256
145,1992
146,2136
147,7028
148,4796
149,4563
150,5904
151,5801
152,790
153,7156
154,2104
155,7736
156,6026
157,4654
158,3066
159,2839
160,3228
161,8821
162,9065
163,934
164,7583
165,3484
166,7482
167,5388
168,1297
169,6450
170,6850
171,9381
172,5645
173,766
174,3041
175,4267
176,3686
177,7208
178,3021
179,9394
180,6135
181,6602
182,719
183,4615
184,4673
185,8897
186,4296
187,9193
188,9437
189,6441
190,2877
191,4911
192,2205
193,9258
194,1112
195,2876
196,1269
197,3682
198,9981
199,9148
200,1152
201,4947
202,1698
203,4174
204,6648
205,3768
206,7381
207,3835
208,2741
209,8989
210,1613
211,5713
212,7952
213,8019
214,6898
215,6895
216,5747
217,1611
218,1383
219,1236
220,3296
221,4822
222,4960
223,2019
224,9378
225,5246
226,5891
227,5181
228,5993
229,9219
230,8643
231,3767
232,8735
233,8321
234,9467
235,4713
236,1518
237,9821
238,1016
239,4736
240,2019
241,4539
242,2688
243,6077
244,971
245,9014
246,6549
247,4363
248,3007
249,7362
250,8326
251,4672
252,4702
253,4027
254,2341
255,7568
256,699
257,1665
258,7952
259,7443
260,5238
261,7853
262,7535
263,6599
264,1872
265,7797
266,5140
267,6318
268,1175
269,1171
270,8349
271,6183
272,3727
273,9571
274,987
275,5687
276,8000
277,9634
278,9989
279,6703
280,3082
281,3965
282,1402
283,4939
284,8
285,4081
286,4562
287,9571
288,3781
289,7553
290,933
291,1184
292,2783
293,2686
294,927
295,1796
296,7649
297,8267
298,1175
299,5130
300,9377
301,5376
302,5145
303,4539
304,8654
305,7957
306,5138
307,7613
308,5586
309,8558
310,1836
311,6006
312,6679
313,889
314,8673
315,1291
316,8529
317,120
318,5588
319,6073
320,2081
321,4977
322,985
323,8496
324,4824
325,9675
326,2264
327,5891
328,9048
329,4896
330,4427
331,8872
332,8878
333,7254
334,7894
335,6481
336,1529
337,8916
338,4995
339,7644
340,1973
341,2986
342,5238
343,7959
344,7717
345,9778
346,4032
347,130
348,1312
349,7775
350,6063
351,6841
352,5965
353,6141
354,2351
355,1758
356,9096
357,4004
358,6354
359,8905
360,4258
361,3377
362,3097
363,1901
364,8363
365,8363
366,1901
367,2000
368,9312
369,1733
370,5517
371,5588
372,7482
373,5258
374,6667
375,8176
376,3729
377,1223
378,380
379,3933
380,8780
381,5269
382,360
383,2936
384,4850
385,3779
386,3997
387,8747
388,3577
389,6354
390,8070
391,2306
392,6889
393,916
394,9778
395,8394
396,4165
397,1416
398,8077
399,9646
400,1491
401,2846
402,2873
403,9607
404,8195
405,1240
406,3082
407,9889
408,9901
409,8895
410,7313
411,9257
412,1516
413,7886
414,340
415,2203
416,9258
417,9786
418,7650
419,2593
420,4232
421,5884
422,7009
423,2831
424,7254
425,3574
426,6321
427,2203
428,2203
429,5801
430,9170
431,3171
432,9891
433,6842
434,7720
435,3951
436,6024
437,1917
438,7418
439,8284
440,8666
441,7252
442,9521
443,407
444,1148
445,4182
446,7787
447,6372
448,8671
449,5358
450,325
451,3439
452,5046
453,4995
454,7736
455,1529
456,3128
457,250
458,3695
459,7632
460,1850
461,7647
462,7861
463,4335
464,4427
465,6045
466,923
467,4974
468,587
469,5517
470,7028
471,9935
472,1064
473,8865
474,2929
475,7995
476,5857
477,4480
478,9826
479,2670
480,9002
481,2188
482,4960
483,4741
484,5238
485,1856
486,3729
487,8996
488,6763
489,1188
490,2508
491,8474
492,4565
493,1171
494,3634
495,234
496,5363
497,4335
498,2490
499,7380
500,1717
501,319
502,7831
503,7989
504,3003
505,1389
506,3049
507,5316
508,9902
509,7346
510,4974
511,8460
512,7996
513,6884
514,1386
515,9638
516,4656
517,139
518,8834
519,9645
520,617
521,6674
522,7466
523,2802
524,7906
525,2511
526,8303
527,1986
528,1641
529,5918
530,3409
531,4562
532,4795
533,6434
534,9398
535,6484
536,5057
537,1509
538,9953
539,5050
540,9568
541,4231
542,569
543,5755
544,3779
545,9745
546,7036
547,4868
548,4758
549,5329
550,8648
551,8916
552,8104
553,9707
554,934
555,1650
556,6150
557,1171
558,8949
559,2566
560,2983
561,4841
562,1717
563,1946
564,3117
565,5778
566,4612
567,6898
568,3219
569,6110
570,1353
571,3459
572,9351
573,1406
574,5662
575,391
576,6816
577,4480
578,4928
579,3465
580,1603
581,2511
582,2968
583,7036
584,503
585,6322
586,4484
587,7185
588,5333
589,7340
590,4645
591,4079
592,5395
593,2466
594,9574
595,9698
596,117
597,6751
598,4426
599,5801
600,373
601,5814
602,5078
603,8731
604,1731
605,7991
606,4185
607,9911
608,5831
609,7554
610,2066
611,6534
612,4769
613,4638
614,872
615,4372
616,2470
617,6169
618,3175
619,6111
620,3817
621,2303
622,4600
623,5078
624,8403
625,2565
626,7195
627,4334
628,3330
629,5823
630,5432
631,9661
632,6306
633,7806
634,4717
635,7176
636,7085
637,7327
638,1883
639,8187
640,513
641,6620
642,5163
643,3601
644,9854
645,6805
646,532
647,5485
648,9671
649,7194
650,2000
651,358
652,9139
653,3729
654,1661
655,4130
656,4729
657,4621
658,8776
659,7565
660,3219
661,9953
662,6838
663,9186
664,9136
665,4010
666,2393
667,2717
668,2730
669,1317
670,9246
671,1210
672,2594
673,8276
674,6465
675,7821
676,3253
677,4189
678,1633
679,6024
680,8708
681,1163
682,4841
683,4106
684,4272
685,8839
686,2961
687,3169
688,15
689,358
690,2834
691,4343
692,414
693,1561
694,570
695,6669
696,8689
697,3743
698,2450
699,1680
700,886
701,1726
702,7003
703,8352
704,7936
705,9132
706,2224
707,8118
708,17
709,7499
710,5208
711,3758
712,4734
713,4706
714,2770
715,5747
716,2844
717,5273
718,5983
719,4761
720,8425
721,4556
722,6052
723,5625
724,2038
725,1445
726,2844
727,5258
728,3725
729,6493
730,5720
731,6183
732,3389
733,811
734,9397
735,1703
736,2110
737,5523
738,2497
739,2872
740,3840
741,5396
742,6330
743,5523
744,4593
745,4621
746,73
747,2081
748,6028
749,9958
750,4562
751,3281
752,7466
753,426
754,1558
755,6883
756,4622
757,8673
758,7242
759,8868
760,1972
761,4566
762,2343
763,5909
764,287
765,4859
766,5828
767,463
768,7672
769,7935
770,9193
771,1350
772,3590
773,9831
774,9269
775,6751
776,1001
777,7352
778,9847
779,1561
780,4032
781,7410
782,5642
783,9935
784,2371
785,1350
786,8244
787,9077
788,7393
789,8739
790,7025
791,1619
792,5761
793,7866
794,177
795,1875
796,7761
797,2081
798,2823
799,5588
800,8960
801,7033
802,6803
803,5040
804,5801
805,1203
806,9542
807,7736
808,971
809,7535
810,7466
811,1031
812,7830
813,1966
814,3002
815,934
816,2104
817,8878
818,9135
819,1516
820,164
821,1779
822,970
823,5883
824,4866
825,73
826,1491
827,8195
828,7665
829,4539
830,7211
831,3941
832,9014
833,7036
834,3403
835,9527
836,9786
837,1171
838,1811
839,6301
840,5889
841,7535
842,5328
843,2493
844,9474
845,7036
846,8198
847,3220
848,7125
849,1758
850,7003
851,9839
852,6477
853,7401
854,1380
855,3251
856,9823
857,477
858,1747
859,8704
860,3658
861,6816
862,9839
863,9687
864,301
865,2998
866,2248
867,3317
868,2363
869,3085
870,4480
871,9000
872,1381
873,7003
874,543
875,5495
876,1410
877,2000
878,2203
879,4090
880,8421
881,3464
882,9527
883,7876
884,8014
885,2076
886,5219
887,1935
888,9878
889,241
890,9267
891,6504
892,5381
893,7212
894,9759
895,4974
896,2646
897,7832
898,62
899,1503
900,1327
901,4556
902,3803
903,989
904,7036
905,4762
906,4834
907,7537
908,9599
909,8708
910,1927
911,767
912,8643
913,6027
914,3697
915,6278
916,4184
917,5282
918,2495
919,2804
920,1136
921,1293
922,8976
923,1171
924,786
925,5227
926,7492
927,6099
928,4741
929,9577
930,3007
931,2416
932,7298
933,4549
934,5217
935,8119
936,5796
937,6441
938,9291
939,8529
940,2607
941,4788
942,8546
943,5868
944,7072
945,1031
946,8450
947,6183
948,6200
949,7091
950,9506
951,2086
952,4679
953,384
954,9911
955,8186
956,2733
957,5831
958,4836
959,6441
960,2368
961,4043
962,6850
963,7628
964,2000
965,9378
966,6787
967,7965
968,2466
969,8791
970,7033
971,4310
972,7028
973,9839
974,4959
975,6841
976,249
977,671
978,9172
979,8438
980,8193
981,5775
982,3861
983,3134
984,7683
