Id,Predicted
1,2021
2,1646
3,6492
4,9478
5,8297
6,6650
7,4099
8,9661
9,476
10,9661
11,4578
12,1624
13,1071
14,4897
15,1560
16,2167
17,1815
18,3183
19,2628
20,8649
21,4936
22,3446
23,7022
24,8704
25,8250
26,2264
27,2665
28,8739
29,3281
30,4113
31,3167
32,3743
33,9704
34,6934
35,7487
36,151
37,4580
38,510
39,9218
40,899
41,3688
42,3833
43,7795
44,2989
45,6156
46,8291
47,4495
48,7243
49,1668
50,8329
51,8863
52,1420
53,3085
54,3940
55,4445
56,2172
57,6455
58,8914
59,4974
60,7456
61,3416
62,3939
63,5657
64,4789
65,4090
66,5148
67,4986
68,8733
69,1509
70,2136
71,5029
72,3653
73,6898
74,8967
75,4066
76,9468
77,7567
78,3950
79,1501
80,6132
81,4925
82,5948
83,8479
84,5049
85,4944
86,1885
87,8930
88,322
89,4699
90,9327
91,9956
92,9661
93,8288
94,757
95,9512
96,1769
97,9353
98,953
99,9339
100,6958
101,9638
102,4141
103,8793
104,3139
105,9185
106,2431
107,450
108,5396
109,7505
110,819
111,1498
112,2885
113,5588
114,934
115,8359
116,6156
117,8258
118,8429
119,9661
120,9749
121,9675
122,9490
123,8704
124,8585
125,2431
126,6835
127,2343
128,3912
129,3635
130,5527
131,6941
132,8289
133,207
134,5909
135,5663
136,5857
137,7687
138,7222
139,8096
140,8654
141,4027
142,3793
143,6311
144,256
145,1992
146,9937
147,1890
148,8523
149,4563
150,2593
151,7504
152,1148
153,7156
154,2104
155,5315
156,1804
157,3073
158,3066
159,8347
160,3228
161,1210
162,9065
163,9541
164,9398
165,3759
166,5232
167,8064
168,5345
169,4380
170,4774
171,5459
172,5645
173,9131
174,3041
175,4742
176,3686
177,5044
178,8268
179,9394
180,3472
181,6602
182,8290
183,4615
184,7836
185,8897
186,4296
187,3172
188,4229
189,9661
190,2784
191,4911
192,2205
193,7716
194,8688
195,2876
196,5596
197,2336
198,9981
199,9148
200,1152
201,4947
202,1698
203,9661
204,9143
205,3768
206,447
207,2015
208,2741
209,8989
210,1613
211,5713
212,7952
213,8019
214,5614
215,7639
216,7085
217,1611
218,1383
219,1236
220,7180
221,4822
222,5191
223,2035
224,9378
225,5246
226,5891
227,5181
228,6162
229,4859
230,1313
231,8379
232,8735
233,5494
234,9467
235,4713
236,1518
237,9661
238,1142
239,9350
240,2035
241,5413
242,2688
243,6077
244,971
245,115
246,6549
247,562
248,3968
249,7743
250,4516
251,4485
252,9661
253,7125
254,2341
255,6469
256,699
257,9592
258,7952
259,7443
260,5173
261,7853
262,6763
263,6599
264,7503
265,4778
266,9661
267,9661
268,1175
269,4961
270,9
271,6183
272,6196
273,9571
274,987
275,6022
276,8989
277,5248
278,7623
279,6703
280,8552
281,3965
282,313
283,4939
284,4267
285,9361
286,9661
287,6150
288,4099
289,2224
290,933
291,1184
292,7613
293,2686
294,927
295,9075
296,3630
297,7796
298,3370
299,5948
300,9377
301,5376
302,5145
303,4539
304,8654
305,7957
306,6800
307,1340
308,5586
309,2909
310,1836
311,6006
312,6679
313,889
314,9661
315,1291
316,8752
317,120
318,5588
319,3542
320,1154
321,4977
322,985
323,8496
324,2704
325,3025
326,3151
327,5891
328,9048
329,796
330,4427
331,8893
332,8878
333,7254
334,7894
335,1056
336,1594
337,7381
338,5565
339,5357
340,1973
341,2986
342,5133
343,7959
344,2595
345,130
346,216
347,130
348,1312
349,7775
350,5778
351,9981
352,5965
353,476
354,2351
355,1758
356,9096
357,4004
358,7120
359,5218
360,6128
361,2477
362,1523
363,3201
364,3655
365,3032
366,9661
367,2000
368,9312
369,6652
370,5517
371,5588
372,2733
373,5258
374,6667
375,8176
376,3120
377,1223
378,6302
379,3933
380,8780
381,5269
382,7815
383,2936
384,4850
385,3779
386,7495
387,4692
388,3378
389,2678
390,1982
391,2381
392,6889
393,1226
394,1090
395,8394
396,4165
397,4250
398,8077
399,9646
400,1491
401,2846
402,2873
403,7035
404,8195
405,1240
406,6187
407,9889
408,1871
409,9279
410,223
411,978
412,3708
413,9462
414,9661
415,7467
416,5909
417,3930
418,7650
419,2593
420,1961
421,4491
422,5111
423,2831
424,7254
425,9951
426,6321
427,4716
428,8142
429,5801
430,6004
431,9271
432,9891
433,1945
434,7720
435,3951
436,6024
437,1917
438,3677
439,2764
440,8666
441,9531
442,7049
443,407
444,1148
445,4742
446,4562
447,6372
448,8671
449,1833
450,8293
451,3439
452,5046
453,4995
454,4698
455,1610
456,2239
457,2097
458,3695
459,7632
460,8247
461,2505
462,2037
463,9661
464,4427
465,6045
466,3272
467,9271
468,2004
469,5517
470,5597
471,2440
472,1064
473,8865
474,6107
475,7995
476,7906
477,4985
478,5424
479,2670
480,9002
481,2188
482,6473
483,9839
484,5238
485,3725
486,2906
487,8996
488,6763
489,9350
490,2508
491,8474
492,4565
493,6229
494,3634
495,7984
496,5363
497,4532
498,6751
499,7380
500,4795
501,9592
502,7831
503,7535
504,9178
505,9118
506,3049
507,5316
508,9234
509,7346
510,3959
511,8460
512,7996
513,3754
514,1386
515,3014
516,4656
517,139
518,8834
519,9645
520,4837
521,3056
522,4583
523,2802
524,7906
525,886
526,9499
527,4811
528,1641
529,5918
530,5523
531,4562
532,4795
533,6434
534,9398
535,2378
536,5057
537,1509
538,4858
539,6547
540,9568
541,8690
542,5946
543,8983
544,3779
545,9745
546,4094
547,3675
548,3628
549,487
550,5165
551,3419
552,8104
553,8234
554,934
555,1650
556,6150
557,4164
558,4841
559,2566
560,2983
561,9560
562,9
563,7705
564,4288
565,5711
566,4612
567,9537
568,3219
569,6110
570,1353
571,3459
572,9351
573,7450
574,5662
575,391
576,825
577,4480
578,4928
579,9383
580,1603
581,9604
582,1075
583,6657
584,215
585,3289
586,4239
587,7185
588,2021
589,8645
590,4645
591,4918
592,5395
593,2466
594,9574
595,9698
596,117
597,6751
598,4426
599,5801
600,373
601,1754
602,6214
603,8701
604,1731
605,5044
606,8912
607,9661
608,5831
609,1504
610,1420
611,6534
612,3185
613,5278
614,3014
615,4372
616,2470
617,6169
618,7482
619,6111
620,3817
621,2303
622,4600
623,9021
624,8403
625,5677
626,7195
627,4334
628,9521
629,6638
630,6652
631,9661
632,6306
633,7806
634,4717
635,408
636,7085
637,819
638,3436
639,8187
640,1416
641,2219
642,849
643,8152
644,6150
645,6805
646,3089
647,5485
648,9671
649,7054
650,5315
651,358
652,9139
653,5797
654,1661
655,4130
656,4729
657,4621
658,8776
659,6058
660,3219
661,5633
662,6838
663,9186
664,9136
665,9661
666,2393
667,1474
668,2730
669,1317
670,9246
671,1210
672,6245
673,8473
674,7092
675,7821
676,3253
677,3799
678,3691
679,6024
680,377
681,1163
682,5424
683,5944
684,1440
685,8839
686,2909
687,9661
688,15
689,358
690,1671
691,4343
692,1340
693,510
694,2960
695,5461
696,8689
697,3743
698,2450
699,1680
700,2906
701,1726
702,7003
703,9661
704,9606
705,5328
706,2224
707,8118
708,17
709,7499
710,2802
711,7153
712,7945
713,4706
714,2770
715,340
716,2150
717,1962
718,5983
719,4380
720,8425
721,4556
722,3335
723,5625
724,2038
725,7460
726,2481
727,5258
728,3725
729,6493
730,5720
731,6183
732,3389
733,9073
734,6626
735,1703
736,2110
737,5523
738,2497
739,2872
740,6745
741,5396
742,8055
743,632
744,4593
745,4621
746,73
747,2081
748,9661
749,9193
750,5801
751,3281
752,5403
753,4974
754,1558
755,6883
756,4622
757,8673
758,2438
759,1122
760,1972
761,4566
762,2343
763,5909
764,287
765,3257
766,5828
767,8096
768,2393
769,1433
770,993
771,7422
772,3590
773,9831
774,9269
775,3483
