Id,Predicted
1,4245
2,4068
3,6492
4,3594
5,8297
6,6650
7,5220
8,3727
9,476
10,4637
11,8739
12,1624
13,1071
14,1168
15,5565
16,7566
17,1815
18,8608
19,7806
20,8649
21,1966
22,25
23,7647
24,8704
25,8250
26,7951
27,3185
28,8739
29,5223
30,6768
31,6898
32,7028
33,9704
34,2313
35,7487
36,13
37,2170
38,1561
39,9218
40,899
41,7926
42,1529
43,7795
44,2989
45,6156
46,8711
47,4843
48,1921
49,9500
50,4391
51,4649
52,1420
53,3085
54,3940
55,1628
56,8363
57,6455
58,1620
59,4375
60,9209
61,9135
62,9413
63,9051
64,4789
65,5854
66,34
67,4986
68,8439
69,1509
70,2136
71,7313
72,3086
73,6898
74,3450
75,5424
76,6510
77,27
78,3413
79,5136
80,1523
81,4925
82,267
83,8479
84,4697
85,2844
86,7180
87,8930
88,322
89,4699
90,319
91,9956
92,8397
93,7112
94,4621
95,6928
96,1769
97,9353
98,429
99,3220
100,6958
101,8802
102,3837
103,4267
104,7003
105,9185
106,4459
107,450
108,5396
109,7505
110,2481
111,1433
112,5760
113,5588
114,1017
115,5503
116,6787
117,8686
118,8429
119,1968
120,7036
121,2302
122,692
123,8704
124,8585
125,7482
126,1256
127,8746
128,3912
129,1962
130,1261
131,9887
132,41
133,8152
134,5004
135,3373
136,5857
137,9176
138,7222
139,8096
140,8654
141,4027
142,5197
143,3804
144,256
145,1992
146,3861
147,160
148,8523
149,6209
150,5904
151,7504
152,1148
153,5136
154,7803
155,5315
156,5593
157,4654
158,3066
159,3389
160,65
161,5524
162,1760
163,934
164,6538
165,1181
166,4856
167,3128
168,6334
169,9186
170,6850
171,9588
172,1383
173,9131
174,597
175,4267
176,3686
177,8164
178,5642
179,9394
180,6135
181,6602
182,3767
183,4615
184,7836
185,8897
186,4296
187,4621
188,4229
189,9680
190,319
191,50
192,2205
193,6344
194,1112
195,2876
196,5596
197,3682
198,9981
199,9148
200,7788
201,8758
202,8839
203,1699
204,4398
205,3768
206,1336
207,9012
208,2741
209,8989
210,1613
211,5713
212,7952
213,8019
214,2408
215,5125
216,2015
217,1611
218,7805
219,1236
220,7419
221,5461
222,5191
223,8688
224,6558
225,5246
226,9890
227,5181
228,1547
229,4859
230,8701
231,3767
232,662
233,7690
234,1906
235,872
236,4858
237,5282
238,1876
239,3756
240,8688
241,217
242,2688
243,1061
244,3112
245,115
246,9191
247,643
248,2340
249,7743
250,2016
251,4485
252,5792
253,4027
254,2341
255,4798
256,699
257,1270
258,7952
259,1773
260,6045
261,7853
262,6763
263,6599
264,8491
265,2248
266,6156
267,2220
268,2349
269,1117
270,4878
271,6183
272,6196
273,3366
274,7181
275,2809
276,1261
277,5760
278,2573
279,6703
280,3341
281,5216
282,313
283,2631
284,7834
285,4383
286,6028
287,9472
288,3781
289,7553
290,933
291,1184
292,2783
293,2686
294,5094
295,6455
296,7717
297,8267
298,9139
299,617
300,2743
301,5121
302,5145
303,3688
304,4638
305,3649
306,6024
307,6424
308,1066
309,3487
310,1836
311,6006
312,9890
313,889
314,9585
315,1291
316,214
317,120
318,5588
319,8722
320,4420
321,4977
322,985
323,389
324,2704
325,2295
326,7866
327,5891
328,8255
329,4896
330,4427
331,7799
332,8878
333,7254
334,7894
335,8123
336,7282
337,7744
338,6751
339,5357
340,1973
341,2986
342,6107
343,7959
344,503
345,9778
346,7320
347,7920
348,5280
349,7775
350,9143
351,7129
352,5965
353,476
354,2351
355,1758
356,9096
357,4004
358,9710
359,2982
360,4487
361,4925
362,301
363,1901
364,6681
365,3032
366,1112
367,2000
368,9312
369,1282
370,5517
371,5588
372,8643
373,5258
374,6667
375,8176
376,3695
377,1223
378,6636
379,3933
380,3135
381,5412
382,7815
383,2936
384,4850
385,8788
386,1350
387,6875
388,4026
389,7036
390,3686
391,2306
392,6889
393,5402
394,9778
395,8872
396,9758
397,647
398,8077
399,9646
400,9529
401,5205
402,2873
403,9607
404,2970
405,1240
406,1429
407,9889
408,2371
409,9709
410,1978
411,9257
412,4090
413,9462
414,340
415,8116
416,8041
417,9786
418,6301
419,2593
420,415
421,6774
422,6111
423,3551
424,7254
425,9951
426,7479
427,5523
428,3250
429,5801
430,6004
431,3515
432,9891
433,6842
434,7905
435,3951
436,5593
437,1917
438,8321
439,8562
440,8666
441,9073
442,3330
443,2071
444,627
445,4065
446,4919
447,6372
448,8671
449,3820
450,941
451,3439
452,5046
453,6020
454,9838
455,3441
456,2239
457,1280
458,3695
459,6652
460,2349
461,2505
462,7120
463,6841
464,4427
465,850
466,7880
467,719
468,3756
469,684
470,5411
471,4339
472,1064
473,8865
474,9552
475,7995
476,3592
477,7990
478,10000
479,2670
480,9002
481,2188
482,9882
483,9839
484,5238
485,1856
486,8573
487,2760
488,933
489,2634
490,7394
491,3658
492,4565
493,8902
494,3634
495,234
496,6967
497,1450
498,3157
499,3097
500,4262
501,4372
502,7831
503,7989
504,102
505,7720
506,283
507,5316
508,9902
509,6591
510,4974
511,8460
512,7996
513,3754
514,1386
515,8035
516,4656
517,773
518,8834
519,9797
520,7821
521,6674
522,5419
523,2802
524,8049
525,886
526,8303
527,5642
528,5823
529,5918
530,6878
531,4562
532,8640
533,6434
534,4961
535,9191
536,4365
537,1509
538,4858
539,1980
540,9568
541,8690
542,7341
543,8176
544,3779
545,9745
546,4094
547,3675
548,4758
549,487
550,5296
551,1740
552,8104
553,2294
554,823
555,1650
556,6150
557,4164
558,1307
559,2566
560,2983
561,6498
562,861
563,3856
564,4288
565,7785
566,4612
567,9537
568,1416
569,6110
570,1353
571,8070
572,5934
573,1406
574,5662
575,6492
576,6816
577,2595
578,4928
579,7324
580,1603
581,7054
582,2828
583,7036
584,5982
585,1619
586,1204
587,7185
588,5333
589,2877
590,4645
591,9833
592,2735
593,2466
594,2607
595,6459
596,117
597,2875
598,4426
599,9906
600,373
601,4673
602,9065
603,6037
604,1731
605,7724
606,4761
