Id,Predicted
1,2021
2,1646
3,6492
4,27
5,8297
6,6650
7,4099
8,8646
9,5256
10,4666
11,4578
12,1624
13,1071
14,3984
15,5221
16,2167
17,7113
18,3183
19,7806
20,8649
21,1966
22,4289
23,7022
24,8704
25,8250
26,346
27,5108
28,8739
29,5807
30,2435
31,6898
32,1326
33,9051
34,206
35,7487
36,151
37,4854
38,510
39,9218
40,2673
41,3688
42,3833
43,7795
44,2989
45,6156
46,3505
47,1281
48,7487
49,4179
50,8329
51,2660
52,1420
53,3085
54,5517
55,4445
56,2172
57,6455
58,8914
59,4974
60,2081
61,3416
62,2243
63,6147
64,1416
65,4090
66,5148
67,4986
68,2082
69,1509
70,8841
71,7313
72,3653
73,6898
74,6133
75,5810
76,9468
77,7567
78,3950
79,1501
80,6132
81,4925
82,5948
83,8479
84,5049
85,4944
86,1885
87,8930
88,322
89,4699
90,9399
91,9956
92,3727
93,5356
94,757
95,9512
96,1769
97,9353
98,7295
99,3220
100,6958
101,1935
102,4141
103,8793
104,3139
105,9185
106,2431
107,450
108,5396
109,7505
110,819
111,1476
112,6533
113,5588
114,934
115,8359
116,6156
117,1140
118,8429
119,1093
120,9749
121,5755
122,8909
123,8704
124,8577
125,8205
126,6835
127,1884
128,3912
129,3635
130,2496
131,6941
132,8289
133,207
134,5004
135,5663
136,5857
137,7687
138,5679
139,8096
140,8654
141,4027
142,2549
143,6311
144,256
145,1992
146,2136
147,7028
148,1004
149,4563
150,5614
151,7504
152,1148
153,7156
154,2104
155,5315
156,700
157,3073
158,3066
159,2221
160,5868
161,7951
162,9065
163,6158
164,7583
165,3484
166,7482
167,8064
168,1297
169,4380
170,3505
171,3170
172,5645
173,9131
174,6975
175,4267
176,3686
177,5044
178,888
179,9394
180,3472
181,6602
182,3767
183,4615
184,8041
185,8897
186,4296
187,9193
188,4229
189,6691
190,946
191,4911
192,2205
193,9258
194,1112
195,2876
196,5596
197,7817
198,9981
199,9148
200,6478
201,4947
202,8839
203,4174
204,9143
205,3768
206,9181
207,7734
208,7552
209,8989
210,1613
211,5713
212,7952
213,8019
214,549
215,2137
216,3940
217,1611
218,1383
219,1236
220,4354
221,4822
222,5057
223,3878
224,5071
225,5246
226,1256
227,5181
228,6162
229,539
230,6073
231,9679
232,8735
233,8321
234,9467
235,6522
236,1518
237,9821
238,8813
239,9350
240,3878
241,5413
242,2688
243,6077
244,971
245,115
246,6549
247,643
248,3968
249,7743
250,2016
251,4485
252,4702
253,8821
254,2341
255,6469
256,699
257,9592
258,7952
259,7443
260,340
261,7853
262,6763
263,6599
264,832
265,1052
266,5880
267,2643
268,1175
269,1117
270,8349
271,6183
272,6196
273,3533
274,2868
275,6022
276,8000
277,5248
278,7623
279,6703
280,8552
281,3946
282,1402
283,4939
284,2120
285,7702
286,4069
287,9571
288,4099
289,7252
290,933
291,1184
292,2783
293,7396
294,4480
295,9075
296,7649
297,8267
298,1175
299,5130
300,9377
301,5376
302,298
303,4539
304,8654
305,7957
306,5632
307,3082
308,6132
309,2021
310,1836
311,6006
312,6679
313,889
314,2481
315,1291
316,8752
317,120
318,5588
319,3542
320,1154
321,4977
322,985
323,8496
324,2678
325,7396
326,3151
327,5891
328,9048
329,4896
330,4427
331,8893
332,8878
333,7254
334,7894
335,1056
336,1594
337,8916
338,5565
339,1865
340,1973
341,2986
342,5133
343,7959
344,7717
345,130
346,8981
347,130
348,1312
349,7775
350,5778
351,4562
352,5965
353,476
354,2351
355,1758
356,9096
357,4004
358,7120
359,3756
360,6511
361,3377
362,7736
363,1901
364,3655
365,3032
366,1901
367,2000
368,9312
369,1733
370,5517
371,5588
372,9725
373,5258
374,6667
375,8176
376,2573
377,1223
378,380
379,3933
380,8780
381,5269
382,360
383,5697
384,4850
385,3779
386,3997
387,4692
388,3577
389,6354
390,7871
391,2381
392,6889
393,6412
394,9778
395,8394
396,4165
397,1416
398,8077
399,9646
400,9529
401,2846
402,2873
403,7035
404,3833
405,1240
406,6187
407,9889
408,1871
409,6474
410,7313
411,9257
412,1516
413,9462
414,340
415,7467
416,8041
417,9786
418,7650
419,2593
420,6428
421,5884
422,7009
423,2831
424,7254
425,9951
426,9045
427,5523
428,3250
429,5801
430,6004
431,9271
432,3442
433,6842
434,7720
435,3951
436,6024
437,1917
438,8321
439,2764
440,8666
441,9531
442,7049
443,407
444,1148
445,4182
446,7787
447,6372
448,8671
449,1833
450,1183
451,3439
452,5046
453,4995
454,5393
455,1529
456,2239
457,1169
458,3695
459,2437
460,1850
461,2505
462,2037
463,4711
464,4427
465,4167
466,923
467,9271
468,587
469,5517
470,5597
471,2440
472,1064
473,8865
474,6107
475,7995
476,3592
477,4985
478,10000
479,2670
480,9002
481,1823
482,4960
483,9839
484,5238
485,3725
486,1776
487,8996
488,6763
489,9350
490,2508
491,8474
492,4565
493,3803
494,3634
495,234
496,5363
497,4335
498,2490
499,7380
500,4795
501,176
502,7831
503,5689
504,9178
505,1389
506,3049
507,5316
508,9234
509,7346
510,4974
511,8460
512,7996
513,3754
514,1386
515,9638
516,4656
517,139
518,8834
519,9645
520,7514
521,6674
522,4525
523,2802
524,7906
525,886
526,8303
527,4811
528,1641
529,7482
530,5523
531,4562
532,4795
533,6434
534,9398
535,9902
536,5057
537,1509
538,4858
539,9111
540,9568
541,8690
542,5469
543,5755
544,3779
545,9745
546,7036
547,3675
548,4758
549,487
550,7627
551,5685
552,8104
553,8234
554,934
555,1650
556,6150
557,4164
558,8949
559,2566
560,2983
561,1470
562,1717
563,7705
564,3117
565,5711
566,7487
567,9537
568,3219
569,6110
570,1353
571,3459
572,563
573,7450
574,5662
575,391
576,2132
577,4480
578,4928
579,9383
580,1603
581,2511
582,1075
583,7340
584,215
585,3289
586,9193
587,7185
588,2008
589,6506
590,4645
591,4079
592,5395
593,2466
594,9574
595,570
596,117
597,6751
598,4426
599,5801
600,373
601,1754
602,6214
603,5883
604,1731
605,5044
606,8912
607,8045
608,5831
609,7554
610,7312
611,6534
612,3185
613,6720
614,3014
615,4372
616,2470
617,6169
618,7482
619,6111
620,8107
621,2303
622,4600
623,9021
624,8403
625,2565
626,7195
627,4334
628,3330
629,5136
630,6652
631,9661
632,6306
633,7806
634,4717
635,7176
636,7085
637,1583
638,3436
639,4032
640,1416
641,2447
642,5163
643,3601
644,9854
645,6805
646,3089
647,5485
648,380
649,7194
650,5315
651,358
652,5898
653,5075
654,1661
655,4130
656,4729
657,4621
658,8776
659,673
660,3219
661,3182
662,6838
663,9186
664,9136
665,4010
666,2393
667,1474
668,2730
669,1317
670,9246
671,1210
672,5519
673,8473
674,1970
675,7821
676,3253
677,7346
678,3691
679,6024
680,8708
681,1163
682,5424
683,3234
684,8752
685,8839
686,2909
687,6051
688,15
689,4167
690,1671
691,4343
692,2609
693,510
694,570
695,5107
696,8689
697,3743
698,9518
699,1680
700,5135
701,1726
702,4910
703,9301
704,9606
705,4919
706,6632
707,8118
708,17
709,7499
710,5208
711,7153
712,4734
713,4706
714,2770
715,340
716,2844
717,7959
718,7021
719,4380
720,8425
721,4556
722,6052
723,7664
724,2038
725,1445
726,2481
727,5258
728,3725
729,6493
730,5720
731,6183
732,3389
733,9073
734,6070
735,1703
736,2110
737,5523
738,5502
739,2872
740,3840
741,5396
742,8055
743,5424
744,1380
745,4621
746,73
747,2081
748,6028
749,9958
750,8199
751,3281
752,5403
753,426
754,9354
755,6883
756,4622
757,8673
758,893
759,8868
760,1972
761,4566
762,2343
763,4412
764,287
765,1997
766,5828
767,8096
768,2393
769,1433
770,9193
771,7422
772,3590
773,9831
774,9269
775,3483
776,2483
