Id,Predicted
1,2021
2,6275
3,6492
4,5364
5,8297
6,6650
7,9607
8,4682
9,476
10,9390
11,163
12,1624
13,5771
14,3984
15,5565
16,7566
17,7113
18,8608
19,7806
20,4172
21,3211
22,6989
23,7647
24,8704
25,4333
26,2129
27,2316
28,8739
29,8722
30,2435
31,3167
32,1240
33,9704
34,6934
35,7487
36,151
37,169
38,1561
39,9218
40,899
41,1665
42,3833
43,7795
44,2989
45,6156
46,3505
47,4843
48,1360
49,1668
50,8329
51,8339
52,1420
53,3085
54,168
55,2866
56,6102
57,6455
58,4621
59,4974
60,4969
61,3416
62,4316
63,5657
64,4789
65,1026
66,8267
67,4986
68,8733
69,1509
70,8841
71,4205
72,4578
73,6898
74,3761
75,3761
76,9468
77,7125
78,5153
79,1842
80,1523
81,4925
82,267
83,1510
84,624
85,7264
86,1885
87,8930
88,1584
89,4699
90,9399
91,9956
92,2400
93,4914
94,757
95,7223
96,1769
97,9353
98,7295
99,3220
100,6958
101,8802
102,7311
103,4267
104,5098
105,8594
106,2431
107,450
108,5396
109,7505
110,5312
111,1498
112,2037
113,5588
114,2793
115,8359
116,6543
117,6737
118,8429
119,6102
120,8678
121,4267
122,9490
123,8704
124,8585
125,2519
126,1726
127,4479
128,3912
129,6455
130,1385
131,6941
132,8289
133,4974
134,3450
135,5663
136,5857
137,5727
138,7222
139,8670
140,8654
141,4027
142,5197
143,3804
144,256
145,1992
146,2136
147,1890
148,8523
149,4563
150,5614
151,7504
152,9086
153,6554
154,2327
155,5315
156,6026
157,3073
158,3066
159,1473
160,8643
161,1210
162,9065
163,9541
164,2607
165,8408
166,7487
167,8064
168,1516
169,1887
170,9141
171,4233
172,115
173,1524
174,5853
175,4267
176,6958
177,7208
178,9953
179,3836
180,6135
181,7866
182,2470
183,4615
184,8041
185,8897
186,4296
187,1001
188,1966
189,5011
190,946
191,4911
192,2205
193,1192
194,8688
195,2876
196,3392
197,8772
198,9981
199,9148
200,6478
201,4947
202,8839
203,1699
204,9565
205,3768
206,447
207,7289
208,4995
209,8989
210,1613
211,5713
212,7952
213,8019
214,1117
215,7909
216,5059
217,1611
218,2340
219,6690
220,7180
221,6463
222,177
223,3878
224,4831
225,5246
226,3523
227,5181
228,5993
229,2433
230,5668
231,7918
232,5204
233,7690
234,5362
235,2186
236,4858
237,1405
238,8813
239,9350
240,3878
241,5413
242,2688
243,6077
244,4113
245,1761
246,6549
247,643
248,2363
249,7743
250,8326
251,4485
252,4702
253,4027
254,2341
255,6469
256,699
257,1665
258,7952
259,8043
260,8841
261,7853
262,6763
263,6599
264,1046
265,1052
266,6156
267,4597
268,2349
269,787
270,6966
271,6183
272,3706
273,1318
274,4027
275,9505
276,8989
277,5248
278,4495
279,6703
280,6600
281,2219
282,1402
283,7017
284,2817
285,4081
286,4562
287,2857
288,4099
289,5125
290,933
291,1184
292,9568
293,2686
294,9176
295,1796
296,3508
297,7859
298,1175
299,1526
300,2102
301,5376
302,5566
303,4539
304,8654
305,7957
306,3462
307,1340
308,379
309,2909
310,1836
311,6006
312,6679
313,889
314,747
315,1291
316,214
317,8645
318,5588
319,8701
320,2546
321,4977
322,985
323,5795
324,4918
325,3562
326,1622
327,5891
328,3312
329,4896
330,4427
331,8893
332,8878
333,7254
334,7894
335,8123
336,7315
337,3464
338,1976
339,5197
340,1973
341,2986
342,5133
343,7959
344,7717
345,9778
346,3759
347,130
348,1312
349,7775
350,4640
351,6841
352,5965
353,476
354,2351
355,1758
356,9096
357,2138
358,7120
359,3573
360,6128
361,6826
362,8285
363,1901
364,6648
365,3032
366,1901
367,2000
368,9312
369,5107
370,6526
371,5588
372,8643
373,5258
374,5778
375,8176
376,2592
377,1223
378,6302
379,3933
380,9444
381,8345
382,360
383,2029
384,4850
385,3097
386,7495
387,4692
388,5888
389,9259
390,2313
391,1346
392,6889
393,6412
394,9778
395,5432
396,4165
397,7439
398,8077
399,2866
400,4811
401,6127
402,2873
403,9607
404,3833
405,3152
406,286
407,9889
408,1025
409,6700
410,9398
411,5588
412,1516
413,7886
414,340
415,1200
416,8041
417,2899
418,7650
419,2593
420,1961
421,4491
422,6111
423,2831
424,7254
425,3574
426,6321
427,4716
428,8142
429,438
430,6004
431,5218
432,169
433,4462
434,9348
435,3951
436,6596
437,2144
438,8321
439,8562
440,8666
441,292
442,9521
443,407
444,839
445,4182
446,4919
447,6372
448,8671
449,5358
450,325
451,3439
452,5046
453,744
454,7736
455,1529
456,2920
457,2300
458,3695
459,6964
460,9168
461,2505
462,6413
463,820
464,4427
465,6045
466,923
467,4974
468,5140
469,684
470,4185
471,2440
472,1064
473,8865
474,2769
475,7995
476,3408
477,6177
478,7320
479,2670
480,904
481,2188
482,4960
483,9839
484,5238
485,6805
486,250
487,8996
488,7640
489,3704
490,7394
491,8974
492,189
493,1171
494,3634
495,3674
496,9645
497,4335
498,5748
499,3097
500,4795
501,4372
502,7831
503,7989
504,1215
505,9118
506,3294
507,5316
508,9234
509,7346
510,7162
511,8895
512,7996
513,3754
514,1386
515,9638
516,4656
517,139
518,8834
519,9645
520,7171
521,6538
522,9935
523,2802
524,4770
525,5208
526,8303
527,8872
528,3253
529,7153
530,9638
531,4562
532,8640
533,4920
534,3193
535,6512
536,5057
537,1509
538,4858
539,5050
540,9568
541,5804
542,6146
543,5755
544,3779
545,9745
546,8742
547,3675
548,4758
549,5329
550,8648
551,6924
552,8104
553,6523
554,934
555,1650
556,6150
557,6177
558,4408
559,2566
560,2983
561,7079
562,8599
563,1946
564,4523
565,2222
566,4612
567,2870
568,3219
569,6110
570,1353
571,6024
572,4128
573,6442
574,5662
575,391
576,6329
577,4480
578,4928
579,7929
580,1603
581,9937
582,2828
583,7036
584,215
585,6461
586,2856
587,7185
588,4826
589,7340
590,4645
591,4079
592,9227
593,4295
594,9574
595,9554
596,117
597,1927
598,4426
599,3843
600,373
601,1754
602,4742
603,5584
604,1731
605,697
606,8552
607,812
608,5831
609,7554
610,7879
611,6534
612,7515
613,4638
614,5935
615,2598
616,2470
617,6169
618,9766
619,6111
620,1530
621,2834
622,4612
623,9021
624,8403
625,5677
626,7195
627,4334
628,9521
629,5136
630,6652
631,2661
632,6306
633,7806
634,4402
635,48
636,492
637,1844
638,3436
639,8187
640,6055
641,6620
642,9549
643,3601
644,4566
645,6805
646,8735
647,6772
648,8124
649,673
650,9176
651,9826
652,9139
653,9048
654,7519
655,4130
656,4729
657,4621
658,8776
659,673
660,8242
661,4885
662,6838
663,9186
664,9136
665,4010
666,2393
667,4335
668,2730
669,1317
670,5362
671,1210
672,5519
673,887
674,6275
675,7821
676,5986
677,4420
678,8607
679,8686
680,377
681,1163
682,5424
683,2466
684,4272
685,8839
686,2909
687,2473
688,15
689,1043
690,5977
691,7012
692,899
693,1561
694,3706
695,4927
696,8689
697,3743
698,3950
699,1680
700,817
701,1726
702,8255
703,8352
704,9606
705,9132
706,8363
707,8118
708,17
709,9027
710,5208
711,7153
712,4734
713,7559
714,2770
715,340
716,2150
717,8189
718,237
719,6236
720,8425
721,6652
722,3335
723,8189
724,2038
725,7460
726,2481
727,5258
728,2434
729,6493
730,5720
731,6183
732,2660
733,2131
734,6626
735,4985
736,2110
737,5523
738,5502
739,5003
740,2922
741,5396
742,8055
743,8903
744,3009
745,9605
746,3469
747,2081
748,8736
749,9958
750,5968
751,3281
752,4290
753,2173
754,7523
755,9493
756,4622
757,8673
758,1129
759,8868
760,1972
761,586
762,2343
763,5909
764,1983
765,2192
766,5828
767,8096
768,2927
769,7935
770,9193
771,2845
772,3590
773,9831
774,9269
775,3483
776,5630
777,7352
778,9847
779,1561
780,3413
781,213
782,1144
783,9935
784,146
785,4922
786,8244
787,9077
788,7393
789,8739
790,7025
791,7623
792,5761
793,9592
794,7670
795,7529
796,3466
797,455
798,2823
799,5588
800,8960
801,7033
802,6803
803,5040
804,4562
805,8364
806,8595
807,8438
808,971
809,6666
810,8012
811,6434
812,7830
813,320
814,3002
815,8065
816,2104
817,8234
818,3253
819,1516
820,5071
821,1779
822,4518
823,9276
824,4940
825,5517
826,1491
827,3485
828,7665
829,9398
830,528
831,4094
832,1894
833,7036
834,1148
835,1510
836,7676
837,1171
838,1811
839,807
840,888
841,6136
842,1197
843,3085
844,9474
845,5859
846,4565
847,3220
848,2858
849,1758
850,4338
851,2037
852,6477
853,5095
854,6710
855,3251
856,9823
857,477
858,4837
859,8704
860,3658
861,6816
862,7463
863,4769
864,4860
865,6128
866,4270
867,1731
868,9074
869,3085
870,4383
871,7746
872,6368
873,7003
874,543
875,5495
876,7066
