Id,Predicted
1,2021
2,5675
3,6492
4,4434
5,8297
6,6650
7,9607
8,2250
9,476
10,9390
11,640
12,1624
13,1071
14,3984
15,5565
16,2311
17,1815
18,3183
19,7806
20,8649
21,1966
22,6989
23,7647
24,8704
25,8250
26,2129
27,3185
28,8739
29,5807
30,4113
31,6898
32,3743
33,9704
34,206
35,7487
36,151
37,4854
38,1561
39,9218
40,899
41,5596
42,3833
43,7795
44,2989
45,6156
46,3505
47,4495
48,7487
49,1668
50,8329
51,4649
52,1420
53,3085
54,7950
55,4166
56,2172
57,6455
58,1620
59,4974
60,85
61,3416
62,6898
63,9051
64,4789
65,1026
66,5148
67,4986
68,2962
69,1509
70,2136
71,5029
72,3653
73,6898
74,8967
75,5424
76,7505
77,8673
78,3950
79,1501
80,1523
81,4925
82,267
83,8479
84,5049
85,4944
86,1885
87,8930
88,4016
89,4699
90,3767
91,9956
92,1873
93,8288
94,1815
95,4654
96,1769
97,9353
98,7295
99,3220
100,6958
101,1935
102,4141
103,8793
104,3139
105,9185
106,7565
107,450
108,5396
109,7505
110,819
111,8887
112,2885
113,5588
114,934
115,7929
116,2388
117,3943
118,8429
119,6102
120,7036
121,2302
122,9490
123,8704
124,8585
125,2431
126,6835
127,6817
128,3912
129,3635
130,5392
131,9887
132,8289
133,8152
134,5004
135,5663
136,5857
137,7687
138,5679
139,8670
140,8654
141,4027
142,5197
143,1606
144,256
145,1992
146,2136
147,1890
148,8523
149,4563
150,5904
151,7504
152,1148
153,7156
154,2104
155,5315
156,6026
157,3073
158,3066
159,5870
160,3228
161,1210
162,9065
163,934
164,9398
165,3759
166,7482
167,8064
168,1297
169,6450
170,5647
171,4233
172,5645
173,9131
174,3041
175,4267
176,3686
177,7208
178,8268
179,9394
180,3472
181,6602
182,719
183,4615
184,7836
185,8897
186,4296
187,9193
188,1966
189,6234
190,2784
191,2668
192,2205
193,1192
194,8688
195,2876
196,5150
197,2336
198,9981
199,9148
200,6478
201,4947
202,8839
203,4174
204,9143
205,3768
206,447
207,7523
208,2741
209,8989
210,1613
211,5713
212,7952
213,8019
214,2408
215,6895
216,3940
217,1611
218,1383
219,1236
220,7402
221,4822
222,5191
223,3878
224,9378
225,5246
226,3523
227,5181
228,5993
229,4859
230,8731
231,3767
232,3943
233,8321
234,9467
235,4713
236,1518
237,9821
238,8813
239,9350
240,3878
241,5413
242,2688
243,6077
244,3112
245,115
246,6549
247,643
248,3968
249,7743
250,4516
251,4485
252,5488
253,4027
254,2341
255,6469
256,699
257,9592
258,7952
259,1773
260,8841
261,7853
262,6763
263,6599
264,1872
265,1052
266,5140
267,6549
268,1175
269,4961
270,8673
271,6183
272,2736
273,1318
274,4027
275,6022
276,1261
277,5248
278,9207
279,6703
280,8552
281,9998
282,1402
283,4939
284,4267
285,4081
286,4562
287,8895
288,4099
289,7553
290,933
291,1184
292,7613
293,2686
294,927
295,9075
296,5900
297,8267
298,1175
299,5130
300,3532
301,5376
302,5145
303,4539
304,4638
305,7957
306,6834
307,4873
308,3764
309,2909
310,1836
311,6006
312,6679
313,889
314,6596
315,1291
316,8529
317,120
318,5588
319,7514
320,4294
321,4977
322,985
323,5795
324,4824
325,2295
326,3151
327,5891
328,9048
329,9092
330,4427
331,8893
332,8878
333,7254
334,7894
335,1056
336,7315
337,8916
338,1518
