Id,Predicted
1,2021
2,5675
3,6492
4,4434
5,8297
6,6650
7,5853
8,8646
9,476
10,5812
11,7552
12,1624
13,1071
14,1168
15,5565
16,2311
17,1815
18,3183
19,7806
20,8649
21,1966
22,6989
23,7647
24,8704
25,8250
26,2264
27,3185
28,8739
29,2692
30,2435
31,6898
32,1326
33,9704
34,6934
35,7487
36,151
37,2170
38,510
39,9218
40,899
41,5596
42,3833
43,7795
44,2989
45,6156
46,8711
47,2722
48,7487
49,5179
50,8329
51,4412
52,1420
53,3085
54,5517
55,4166
56,2172
57,6455
58,1620
59,4974
60,85
61,3416
62,2243
63,9051
64,3779
65,5854
66,2299
67,4986
68,2962
69,1509
70,8841
71,6206
72,3086
73,6898
74,4314
75,5810
76,1643
77,463
78,7410
79,1501
80,1523
81,4925
82,9266
83,8479
84,8976
85,4944
86,1885
87,8930
88,322
89,4699
90,3767
91,9956
92,3727
93,7112
94,6092
95,4654
96,1769
97,9353
98,7295
99,3220
100,6958
101,1935
102,4141
103,4267
104,3139
105,9185
106,2431
107,450
108,5396
109,7505
110,819
111,4563
112,5760
113,5588
114,3390
115,8207
116,6787
117,1140
118,8429
119,6552
120,9749
121,2302
122,7252
123,8704
124,4812
125,2260
126,6835
127,6817
128,3912
129,6455
130,1261
131,9887
132,4627
133,8152
134,3450
135,5663
136,5857
137,7687
138,5679
139,8670
140,8654
141,4027
142,5197
143,2630
144,256
145,6198
146,3861
147,8172
148,1004
149,4563
150,1650
151,7504
152,1148
153,7156
154,360
155,5315
156,6026
157,3073
158,3066
159,5870
160,3228
161,8821
162,9065
163,934
164,4166
165,2459
166,7482
167,8064
168,1516
169,6450
170,325
171,9381
172,5645
173,9131
174,597
175,4267
176,3686
177,9396
178,3349
179,9394
180,3472
181,6602
182,3767
183,4615
184,7836
185,8897
186,4296
187,9193
188,4229
189,6691
190,799
191,2668
192,2205
193,6791
194,4054
195,2876
196,5596
197,3682
198,9981
199,9148
200,2255
201,4947
202,8839
203,4174
204,9143
205,3768
206,1336
207,8872
208,2741
209,8989
210,1613
211,5713
212,7952
213,8019
214,2408
215,4636
216,3940
217,1611
218,1383
219,8936
220,2351
221,6463
222,5191
223,611
224,4831
225,5246
226,989
227,5181
228,5993
229,4859
230,8731
231,1715
232,6222
233,8321
234,9467
235,1210
236,1518
237,1405
238,8813
239,9350
240,611
241,5413
242,2688
243,432
244,971
245,115
246,6549
247,643
248,2363
249,7743
250,2016
251,4485
252,5488
253,4027
254,2341
255,6469
256,699
257,9592
258,7952
259,1773
260,340
261,7853
262,6763
263,6599
264,1046
265,1052
266,5880
267,6549
268,1175
269,4961
270,8673
271,6183
272,7281
273,3366
274,987
275,6022
276,1261
277,5248
278,5342
279,6703
280,8552
281,6517
282,1402
283,4939
284,4267
285,1220
286,1009
287,9472
288,4099
289,3234
290,933
291,1184
292,7613
293,2686
294,927
295,9075
296,7717
297,8267
298,1175
299,617
300,3532
301,5376
302,9
303,4512
304,8654
305,7957
306,6800
307,4873
308,3764
309,2909
310,1836
311,6006
312,6679
313,889
314,6596
315,1291
316,214
317,206
318,5588
319,9387
320,4944
321,4977
322,985
323,4974
324,2704
325,9675
326,3151
327,5891
328,9048
329,4896
330,4427
331,9638
332,8878
333,7254
334,7894
335,1056
336,1594
337,8916
338,1518
339,5197
340,1973
