Id,Predicted
1,2021
2,4068
3,6492
4,4434
5,8297
6,6650
7,5853
8,8646
9,476
10,4637
11,8739
12,1624
13,1071
14,1168
15,5565
16,2311
17,7113
18,3183
19,7806
20,8649
21,1966
22,6989
23,7647
24,8704
25,8250
26,2129
27,3185
28,8739
29,5807
30,2435
31,6898
32,1326
33,9704
34,6934
35,7487
36,151
37,2170
38,510
39,9218
40,899
41,5596
42,3833
43,7795
44,2989
45,6156
46,8711
47,4843
48,7487
49,5179
50,8329
51,4412
52,1420
53,3085
54,5517
55,4166
56,2172
57,6455
58,1620
59,4375
60,85
61,3416
62,4316
63,9051
64,1416
65,5854
66,5148
67,4986
68,2962
69,1509
70,2136
71,7313
72,3086
73,6898
74,1626
75,9836
76,2140
77,463
78,7410
79,1501
80,1523
81,4925
82,5948
83,8479
84,8976
85,7264
86,7180
87,8930
88,322
89,4699
90,3767
91,9956
92,3727
93,9112
94,1466
95,4654
96,1769
97,9353
98,7295
99,3220
100,6958
101,1935
102,7021
103,8793
104,4118
105,9185
106,2431
107,450
108,5396
109,7505
110,819
111,8887
112,5760
113,5588
114,1017
115,8207
116,6543
117,1961
118,8429
119,6552
120,5045
121,2302
122,7252
123,8704
124,8577
125,6082
126,1726
127,6817
128,3912
129,3635
130,1261
131,9887
132,5546
133,207
134,3450
135,2131
136,1884
137,9176
138,5679
139,8096
140,8654
141,4027
142,5197
143,3804
144,256
145,6198
146,3861
147,8172
148,1004
149,4563
150,8115
151,7504
152,1148
153,2604
154,6827
155,5315
156,700
157,8381
158,3066
159,3389
160,6721
161,8821
162,9065
163,934
164,4166
165,6674
166,7482
167,3128
168,1516
169,1210
170,325
171,9381
172,115
173,9131
174,597
175,4267
176,3686
177,9396
178,9160
179,9394
180,3472
181,6245
182,3767
183,4615
184,7836
185,8897
186,4296
187,3172
188,1966
189,6234
190,2040
191,2668
192,2205
193,6344
194,4054
195,2876
196,1269
197,3682
198,9981
199,9148
200,2255
201,8758
202,8839
203,5398
204,9143
205,3768
206,1336
207,8872
208,2741
209,8989
210,1613
211,5713
212,7952
213,8019
214,2408
215,6895
216,2015
217,1611
218,1383
219,1236
220,2351
221,5461
222,5191
223,298
224,1275
225,5246
226,3523
227,5181
228,5993
229,4859
230,8701
231,1715
232,3943
233,8321
234,9467
235,1210
236,1518
237,9821
238,6203
239,9350
240,298
241,217
242,2688
243,6077
244,586
245,115
246,9191
247,643
248,5641
249,7743
250,2016
251,4485
252,5488
253,4027
254,2341
255,6469
256,699
257,1270
258,7952
259,1773
260,9437
261,7853
262,6763
263,6599
264,1872
265,1052
266,6209
267,6549
268,1175
269,8593
270,8673
271,6183
272,7281
273,3366
274,4027
275,6022
276,1261
277,5248
278,3594
279,6703
280,3341
281,160
282,1402
283,4939
284,4267
285,7702
286,1009
287,9472
288,4099
289,7553
290,933
291,1184
292,9568
293,2686
294,927
295,1899
296,7717
297,8267
298,325
299,617
300,2868
301,5376
302,5145
303,6760
304,8654
305,7957
306,6834
307,4873
308,3764
309,2909
310,290
311,6006
312,6679
313,889
314,6596
315,1291
316,214
317,206
318,5588
319,7514
320,2081
321,4977
322,985
323,4974
324,2704
325,7512
326,3151
327,5891
328,9048
329,4896
330,4427
331,9638
332,8878
333,7254
334,7894
335,1056
336,7315
337,8916
338,1518
