Id,Predicted
1,5282
2,3433
3,3025
4,3433
5,3025
6,3025
7,3025
8,3025
9,3025
10,5282
11,5926
12,3025
13,9929
14,3025
15,3025
16,3025
17,8041
18,3025
19,3025
20,8624
21,3025
22,3025
23,8624
24,3653
25,3433
26,6450
27,8624
28,3025
29,3025
30,3025
31,3653
32,3025
33,3025
34,4578
35,3025
36,3025
37,3025
38,3025
39,8624
40,3025
41,5282
42,8312
43,8624
44,3025
45,3025
46,3025
47,8624
48,3025
49,3025
50,8312
51,8624
52,3025
53,8312
54,3433
55,3025
56,3025
57,9588
58,3025
59,3025
60,3025
61,3025
62,8624
63,3025
64,3025
65,3025
66,3025
67,1416
68,3025
69,8312
70,3653
71,3025
72,3025
73,3025
74,3025
75,5282
76,8624
77,8624
78,3025
79,3025
80,3025
81,3025
82,325
83,3025
84,4267
85,8624
86,3025
87,8931
88,3025
89,3025
90,8624
91,8931
92,8312
93,3025
94,8312
95,3433
96,3025
97,3025
98,8312
99,3025
100,3433
101,3433
102,3433
103,8624
104,3025
105,3025
106,3025
107,4267
108,8931
109,3025
110,8624
111,2081
112,3025
113,5282
114,8624
115,8624
116,1539
117,3025
118,8624
119,8624
120,3025
121,3025
122,3025
123,3025
124,3653
125,5282
126,2868
127,325
128,3025
129,3025
130,8931
131,3025
132,4267
133,8312
134,8624
135,3433
136,3433
137,3025
138,3025
139,3025
140,8312
141,5282
142,3025
143,3025
144,8312
145,3025
146,3025
147,8624
148,3433
149,3025
150,3025
151,3025
152,3653
153,8312
154,3025
155,8624
156,325
157,3025
158,3433
159,3025
160,3025
161,3025
162,8624
163,3025
164,3025
165,3025
166,3025
167,3025
168,8624
169,8624
170,8931
171,325
172,8624
173,8624
174,3433
175,3025
176,3025
177,3025
178,8931
179,8624
180,3025
181,3025
182,8624
183,8624
184,4267
185,3025
186,8624
187,3025
188,3025
189,8624
190,4267
191,8624
192,3025
193,3025
194,3025
195,8624
196,8624
197,3025
198,3025
199,3025
200,3025
201,3025
202,5282
203,8624
204,3025
205,3768
206,1628
207,3025
208,3025
209,3025
210,3653
211,3433
212,8624
213,5282
214,3025
215,3025
216,8624
217,8624
218,3433
219,3025
220,3025
221,3025
222,8624
223,3025
224,8624
225,8624
226,2544
227,5282
228,3025
229,5282
230,3025
231,3025
232,8312
233,3025
234,3025
235,4267
236,1904
237,8624
