Id,Predicted
1,2021
2,4068
3,6492
4,4434
5,8297
6,2486
7,5294
8,9184
9,476
10,1262
11,435
12,1624
13,1071
14,1168
15,5565
16,7566
17,1815
18,3183
19,6937
20,8649
21,7036
22,6989
23,7647
24,8704
25,7625
26,2577
27,3185
28,8739
29,5807
30,5693
31,3342
32,4027
33,9704
34,2539
35,7487
36,8562
37,4854
38,510
39,9218
40,7863
41,6833
42,3833
43,7795
44,2989
45,6156
46,8711
47,6481
48,7487
49,5179
50,8329
51,4412
52,1420
53,3085
54,5517
55,4166
56,2172
57,6455
58,1620
59,1995
60,8815
61,3416
62,2667
63,9051
64,6354
65,5854
66,449
67,5773
68,6861
69,1509
70,2136
71,5968
72,3086
73,6898
74,3450
75,9836
76,2140
77,8479
78,5819
79,2017
80,1523
81,4925
82,5948
83,1510
84,624
85,2844
86,1885
87,8930
88,3756
89,4699
90,3767
91,9956
92,5523
93,7620
94,9126
95,6928
96,1769
97,9353
98,7295
99,4328
100,6958
101,8802
102,7021
103,4267
104,4118
105,8594
106,2431
107,450
108,5396
109,7505
110,4805
111,1433
112,5760
113,5588
114,4985
115,5393
116,6543
117,4355
118,8429
119,6234
120,5045
121,2302
122,8909
123,8704
124,5350
125,6248
126,1726
127,1171
128,3912
129,3635
130,5741
131,9887
132,7133
133,7750
134,5004
135,2131
136,1884
137,7687
138,3082
139,8670
140,8654
141,4027
142,5181
143,7866
144,256
145,1992
146,8130
147,2358
148,1004
149,4563
150,2978
151,7504
152,1148
153,6554
154,6827
155,5315
156,700
157,3073
158,3066
159,3389
160,6721
161,8821
162,8921
163,934
164,5086
165,6096
166,7482
167,3128
168,6334
169,6450
170,325
171,6558
172,115
173,1946
174,597
175,8465
176,3867
177,9396
178,888
179,7736
180,3472
181,6245
182,3767
183,4615
184,7836
185,8897
186,4296
187,3172
188,7936
189,6234
190,2040
191,2668
192,2205
193,6344
194,4054
195,2876
196,8062
197,7629
198,9981
199,9148
200,4462
201,8758
202,8839
203,4174
204,9143
205,3768
206,6558
207,3017
208,2741
209,8989
210,1613
211,5713
212,7952
213,8019
214,5807
215,2673
216,2015
217,1611
218,1383
219,9703
220,4273
221,9622
222,5191
223,6558
224,1275
225,5246
226,1256
227,5181
228,1780
229,4859
230,8731
231,5844
232,3943
233,8321
234,9467
235,1210
236,1518
237,705
238,2828
239,3833
240,6558
241,5413
242,2688
243,6077
244,4402
245,115
246,9256
247,643
248,3968
249,7743
250,2016
251,7171
252,8564
253,4027
254,2341
255,6469
256,699
257,1270
258,7952
259,1773
260,5655
261,5694
262,933
263,6599
264,1872
265,1052
266,1665
267,9920
268,1175
269,2465
270,5859
271,6183
272,762
273,3366
274,987
275,6022
276,5741
277,5248
278,3594
279,6703
280,3341
281,3946
282,1402
283,2631
284,5994
285,7839
286,4562
287,9472
288,4099
289,3701
290,933
291,1184
292,9854
293,2686
294,4480
295,1899
296,7717
297,1679
298,325
299,2297
300,2514
301,5376
302,298
303,4315
304,207
305,7957
306,6281
307,4873
308,5586
309,2909
310,4881
311,6006
312,9890
313,6389
314,7565
315,1291
316,3645
317,319
318,5588
319,5752
320,2081
321,4977
322,985
323,1807
324,2704
325,7403
326,4996
327,5891
328,6073
329,9092
330,4427
331,5602
332,8878
333,7254
334,7894
335,1056
336,7315
